CONF FIE WVL CX_IDA CY_IDA CX_DET CY_DET MAG_Y RMS_X RMS_Y
1 1 3250.000 -0.000 0.039 nan nan 0.03326 22.12 15.51
1 2 3250.000 16.616 0.036 nan nan 0.03324 22.29 15.87
1 3 3250.000 -16.644 0.127 nan nan 0.03337 22.32 17.27
1 1 3260.000 -0.000 0.039 nan nan 0.03325 20.79 14.42
1 2 3260.000 16.616 0.036 nan nan 0.03323 20.98 14.82
1 3 3260.000 -16.644 0.127 nan nan 0.03335 20.96 16.15
1 1 3270.000 -0.000 0.039 nan nan 0.03323 19.52 13.39
1 2 3270.000 16.616 0.036 nan nan 0.03322 19.73 13.83
1 3 3270.000 -16.644 0.127 nan nan 0.03333 19.67 15.08
1 1 3280.000 -0.000 0.039 nan nan 0.03322 18.32 12.42
1 2 3280.000 16.616 0.036 nan nan 0.03321 18.55 12.91
1 3 3280.000 -16.644 0.127 nan nan 0.03331 18.44 14.07
1 1 3290.000 -0.000 0.039 -11.955 -30.597 0.03321 17.18 11.50
1 2 3290.000 16.616 0.036 -11.382 -30.608 0.03320 17.43 12.04
1 3 3290.000 -16.644 0.127 -12.529 -30.589 0.03329 17.27 13.10
1 1 3300.000 -0.000 0.039 -11.957 -30.374 0.03320 16.09 10.64
1 2 3300.000 16.616 0.036 -11.383 -30.384 0.03319 16.37 11.23
1 3 3300.000 -16.644 0.127 -12.531 -30.365 0.03327 16.16 12.19
1 1 3310.000 -0.000 0.039 -11.959 -30.150 0.03319 15.06 9.83
1 2 3310.000 16.616 0.036 -11.385 -30.160 0.03318 15.37 10.47
1 3 3310.000 -16.644 0.127 -12.533 -30.141 0.03326 15.11 11.32
1 1 3320.000 -0.000 0.039 -11.961 -29.925 0.03319 14.08 9.07
1 2 3320.000 16.616 0.036 -11.387 -29.936 0.03317 14.42 9.78
1 3 3320.000 -16.644 0.127 -12.534 -29.917 0.03324 14.10 10.51
1 1 3330.000 -0.000 0.039 -11.962 -29.701 0.03318 13.16 8.36
