lambda,norm_amp
3995.611774450256,1
3997.4906366159184,1
3999.702826180696,1
4001.611923386028,1
4003.4400214645775,1
4005.380979520008,1
4007.510345032588,1
4011.6186234630286,1
4013.497755138584,1
4015.609825375093,1
4017.528092663938,1
4019.719758716861,1
4021.573316417621,1
4023.7890268210895,1
4025.620433885393,1
4027.56085509987,1
4031.613758283644,1
4033.804493909152,1
4035.9951451110687,1
4037.935873606755,1
4039.7503481532935,1
4042.027469665216,1
4043.818196482232,1
4045.969882371208,1
4048.1986143033528,1
4050.30542377189,1
4051.9529704298993,1
4054.074606289607,1
4056.5644697959383,1
4058.5224397124966,1
4062.588827590939,1
4064.727114965486,1
4068.844155676609,1
4070.7205968647977,1
4072.909685129364,1
4075.0986721942018,1
4076.9748655459225,1
4081.352354743981,1
4083.5991847502046,1
4085.328920078135,1
4087.292560282961,1
4089.443263092663,1
4091.572693601475,1
4100.324031828486,1
4102.29582377558,1
4104.400069477005,1
4106.670779073028,1
4108.858083280135,1
4110.824911584161,1
4112.858665963136,1
4114.794459964216,1
4117.293724858679,1
4118.964537189597,1
4121.259384857749,1
4123.541195633681,1
4125.415241871737,1
4127.79401291435,1
4129.852187411005,1
4132.173967573559,1
4134.377605468882,1
4136.3198565698085,1
4138.530984992917,1
4140.733012609204,1
4142.769164962358,1
4145.005907613716,1
4147.207479329614,1
4149.145485683898,1
4151.308859832035,1
4153.719419933696,1
4155.745128659094,1
4158.04910763837,1
4160.181080741019,1
4162.03860761671,1
4164.333548030064,1
4166.476890369348,1
4168.662158530853,1
4170.840146749586,1
4173.046350530151,1
4177.412430717795,1
4179.937547998749,1
4181.974861013381,1
4184.329717359986,1
4186.126285247349,1
4188.239450098141,1
4190.559823027527,1
4192.610185816146,1
4195.110638443888,1
4197.379470404379,1
4199.469929843577,1
4201.756812855146,1
4203.931082233643,1
4206.106702233599,1
4208.216100419319,1
4210.496571070175,1
4212.889763040896,1
4215.156796055842,1
4217.325904743497,1
4219.639585361882,1
4221.770795981357,1
4223.774306756304,1
4226.469365298529,1
4228.514683946043,1
4230.69549895173,1
4232.824942539695,1
4235.243425576364,1
4237.481087018477,1
4239.877062627322,1
4242.07692179206,1
4244.170909008505,1
4246.637575663688,1
4248.721743891473,1
4251.057256580161,1
4253.32317723868,1
4255.426400120549,1
4257.646256113445,1
4260.238881966259,1
4262.242047273348,1
4264.603401109021,1
4266.996959198121,1
4269.131383109359,1
4271.539757475525,1
4273.6916352016215,1
4278.312111270796,1
4280.595608762494,1
4282.927921406389,1
4285.181943904001,1
4287.609093184973,1
4289.748007396443,1
4292.223472537481,1
4294.438736757398,1
4298.9940653997,1
4301.401993182631,1
4303.665132744318,1
4308.35004395851,1
4310.658768041565,1
4313.200075512873,1
4315.310409023389,1
4317.576945033657,1
4320.192533934491,1
4322.383051880682,1
4324.801306711777,1
4327.134566350696,1
4329.324873645352,1
4333.9959344124245,1
4336.372963690202,1
4338.793800086493,1
4341.184662439059,1
4346.08889265331,1
4348.568771830984,1
4353.217872922716,1
4355.281124186139,1
4360.122517018351,1
4362.696394745388,1
4364.853959088586,1
4367.1776032325215,1
4369.796675189603,1
4372.201644081096,1
4374.567258663041,1
4377.060442704574,1
4379.441797451978,1
4381.87185688897,1
4384.387709081972,1
4386.660420540165,1
4388.972850127757,1
4391.429888193873,1
4393.861210887591,1
4398.666210930312,1
4401.174353010297,1
4406.130522628434,1
4408.57706812456,1
4410.914349764232,1
4413.211265349471,1
4415.647468311528,1
4418.043652270595,1
4420.711832088395,1
4423.204382980945,1
4425.535997559329,1
4428.085563071068,1
4430.498833588315,1
4432.828214831488,1
4435.448162220211,1
4438.0087596427375,1
4440.302947404168,1
4442.674859681287,1
4445.410518914884,1
4447.848437382227,1
4450.04923015238,1
4452.728699349803,1
4455.096551625058,1
4457.632863573105,1
4460.109304819704,1
4462.72429650025,1
4465.089187153012,1
4467.468672399705,1
4470.243148851344,1
4472.535795987507,1
4475.062108222111,1
4477.690384388462,1
4480.167569092244,1
4482.6231361483015,1
4485.185870266497,1
4487.747536423062,1
4490.248472801596,1
4492.659802585052,1
4495.07799979556,1
4497.932942729963,1
4500.304281806596,1
4502.970617003723,1
4505.49378498754,1
4507.870235466942,1
4510.553153271384,1
4513.050391854351,1
4515.508792851336,1
4518.254510328018,1
4520.731287281416,1
4523.260848474186,1
4525.727248040277,1
4528.360591469922,1
4530.828100844132,1
4533.511187986216,1
4536.132501338086,1
4538.770254351207,1
4541.297871074986,1
4543.8838441266735,1
4546.23030069007,1
4548.982741130634,1
4551.587199667216,1
4554.093463012205,1
4556.82652357848,1
4559.465714790066,1
4562.074542864526,1
4564.71361095885,1
4567.093780004932,1
4569.822494873826,1
4572.455280545509,1
4574.959935499353,1
4577.652453832939,1
4580.141927916796,1
4582.938260391363,1
4585.497557989664,1
4588.114915044584,1
4590.809927047371,1
4593.506461732919,1
4595.980762494448,1
4598.573234739676,1
4601.263105633201,1
4603.9265000028445,1
4606.595343942875,1
4609.262781407999,1
4611.877937934358,1
4614.426961675815,1
4617.138871949483,1
4619.74485339925,1
4622.465802630809,1
4625.105988384119,1
4627.830367643538,1
4630.525718261412,1
4633.186408344804,1
4635.865341281384,1
4638.597637431046,1
4641.28654402843,1
4643.882594351804,1
4646.556483037066,1
4649.263760968826,1
4651.90910766695,1
4654.652557016635,1
4657.398986192316,1
4660.071668047386,1
4662.825050150686,1
4665.535857448158,1
4668.202308038449,1
4670.926918858149,1
4673.711000561241,1
4676.401343639872,1
4679.179271065253,1
4681.860797067073,1
4684.58867636804,1
4687.404050079582,1
4689.948405026359,1
4692.745590880308,1
4695.556744809981,1
4698.283134640854,1
4700.956214055919,1
4703.77150995068,1
4706.548072479158,1
4709.301649375502,1
4712.00591854597,1
4714.814602411773,1
4717.599275947268,1
4720.309567402692,1
4723.115049083585,1
4725.879732564642,1
4728.624820316551,1
4731.441309919968,1
4734.205965953103,1
4737.041895707702,1
4739.878881189899,1
4742.642781175801,1
4745.39632377823,1
4748.235629767588,1
4751.067746043448,1
4753.810342096828,1
4756.696270078355,1
4759.440201221585,1
4762.2116113906495,1
4765.108793103605,1
4767.936451202319,1
4770.76220721051,1
4773.6420942518425,1
4776.477075243272,1
4779.237969324269,1
4782.161531178706,1
4784.956796890219,1
4787.828828304168,1
4790.718577922683,1
4793.534946457263,1
4796.456662201985,1
4799.273864207819,1
4802.175406554396,1
4805.017907832857,1
4807.911648687949,1
4810.729683577531,1
4813.635766195983,1
4816.53485984298,1
4819.466659677961,1
4822.32237197563,1
4825.186947158709,1
4828.117607561034,1
4831.070570408994,1
4833.937100349198,1
4836.891133344287,1
4839.837371249827,1
4842.798490879158,1
4845.723992802637,1
4848.6369156074,1
4851.50572688786,1
4854.486618324713,1
4857.406580401226,1
4860.346919189949,1
4863.339038968878,1
4866.286794487785,1
4869.3053349740185,1
4872.2187086153135,1
4875.243138324047,1
4878.201802272635,1
4881.195040977304,1
4884.150268074272,1
4887.071032258203,1
4890.05949360327,1
4893.003370499564,1
4896.019747093322,1
4898.99472077978,1
4902.0234050864665,1
4905.011956682678,1
4908.0877697582455,1
4911.080158753808,1
4914.087716927941,1
4917.131946622285,1
4920.173500158857,1
4923.221189438037,1
4926.149811426314,1
4929.197019967221,1
4932.194921716206,1
4935.229660197802,1
4938.265415912852,1
4941.354152318573,1
4944.474331918535,1
4947.5534863942985,1
4950.60177402603,1
4953.676626936604,1
4956.771631870432,1
4959.718868341304,1
4962.748099059623,1
4965.905724860497,1
4969.057853378079,1
4972.111249930643,1
4975.243564254623,1
4978.316694998155,1
4981.472670505867,1
4984.554645133739,1
4987.701779018851,1
4990.756552548005,1
4993.769686893944,1
4996.94639730519,1
5000.082306060554,1
5003.264386282379,1
5006.366912186561,1
5009.582097104917,1
5012.761839578435,1
5015.8691295875005,1
5018.983440539446,1
5022.007397700025,1
5025.2277465561965,1
5028.428297552816,1
5031.599462956937,1
5034.799386606657,1
5038.002744807776,1
5041.173899161875,1
5044.349942713703,1
5047.459112282792,1
5050.598618261264,1
5053.827536099638,1
5057.060346712893,1
5060.313561385998,1
5063.533217960818,1
5066.7631119482085,1
5070.0160867319855,1
5073.15507889881,1
5076.306450334586,1
5079.587980286449,1
5082.821577614107,1
5086.0958467112205,1
5089.379207686031,1
5092.621598468603,1
5095.932889270326,1
5099.158444981833,1
5102.2419030834,1
5105.580669965057,1
5108.82953151749,1
5112.132807161663,1
5115.437338840298,1
5118.752273067281,1
5122.076550490799,1
5125.225923983592,1
5128.506835202857,1
5131.859854359542,1
5135.169927956038,1
5138.515394611647,1
5141.859385606411,1
5145.196314678678,1
5148.36180247415,1
5151.702079595855,1
5155.032775979042,1
5158.43562948217,1
5161.762965100373,1
5165.155714720093,1
5168.521922107981,1
5171.7835687750285,1
5175.136868634084,1
5178.485738098893,1
5181.879632104314,1
5185.293316806668,1
5188.672492489657,1
5192.0229139492,1
5195.30691273231,1
5198.748837327651,1
5202.1634972704505,1
5205.55183285987,1
5208.985748119024,1
5212.436503374474,1
5215.724834945255,1
5219.170113276948,1
5222.5631593824255,1
5226.026585111672,1
5229.520612842605,1
5232.962964265971,1
5236.301253201699,1
5239.717219319041,1
5243.200273493888,1
5246.663728670726,1
5250.145774141929,1
5253.665035820084,1
5257.074638473277,1
5260.454572004337,1
5263.9464399300605,1
5267.465593298051,1
5270.948719459532,1
5274.472348715044,1
5277.887428699183,1
5281.39680916979,1
5284.877592758079,1
5288.453910621878,1
5291.944399091713,1
5295.486651620245,1
5298.97429137274,1
5302.517273930321,1
5306.061513990297,1
5309.56552659615,1
5313.098879497629,1
5316.545512870074,1
5320.180558872153,1
5323.784054542287,1
5327.289404792819,1
5330.9476671300845,1
5334.443179842217,1
5337.96657894208,1
5341.617640018823,1
5345.149791486564,1
5348.8366451216925,1
5352.355293035941,1
5355.871455155802,1
5359.574949084711,1
5363.139157084544,1
5366.780398333855,1
5370.361948266891,1
5374.000521783626,1
5377.595567914475,1
5381.271049375688,1
5384.927034064776,1
5388.520116592066,1
5392.140645827753,1
5395.974257323831,1
5399.383820024163,1
5403.121068596563,1
5406.586034390733,1
5410.301530753169,1
5414.0187982867255,1
5417.733241783515,1
5421.313042813488,1
5425.030934647425,1
5428.949078871459,1
5432.743529787019,1
5436.424184597945,1
5440.149143475886,1
5443.830370736488,1
5447.366320095753,1
5451.299718148224,1
5455.0303216997645,1
5458.703328695248,1
5462.422904999262,1
5466.128780958419,1
5469.967198141033,1
5473.654839831804,1
5477.405970764972,1
5481.323683761046,1
5485.098792137836,1
5489.049778482142,1
5492.801808667261,1
5496.482536204972,1
5500.064835502998,1
5504.191727633786,1
5507.957504250745,1
5511.927298626937,1
5515.590985252914,1
5523.290115715854,1
5526.959263980253,1
5530.991595062331,1
5534.66732800311,1
5538.662765816878,1
5232.484699853317,1
5239.280771737558,1
5246.074829524042,1
5249.471124081481,1
5253.206495240704,1
5256.601792901368,1
5259.996627429026,1
5263.730418997241,1
5267.124303878686,1
5273.910754671687,1
5277.642567655044,1
5281.033132604578,1
5284.426377300801,1
5287.817662294989,1
5305.784812936633,1
5309.173621062753,1
5312.56205240433,1
5316.288896470946,1
5323.402546339695,1
5327.128106419531,1
5330.514603887477,1
5334.23934217046,1
5337.6250994296415,1
5341.349030690962,1
5344.734060539466,1
5348.457198180037,1
5352.179925024561,1
5355.902244215145,1
5359.28581950486,1
5363.007368552681,1
5366.390248241689,1
5370.111036828557,1
5373.831430578324,1
5377.213265951494,1
5380.921785272959,1
5388.371039356734,1
5392.081435794563,1
5395.4696320510775,1
5399.187385598536,1
5402.904758034924,1
5406.621750575725,1
5410.338364327458,1
5417.757067756165,1
5421.485942359419,1
5425.201049973909,1
5428.578095313703,1
5432.292487941288,1
5436.006506749292,1
5439.720152110583,1
5443.453027271093,1
5447.1463235978135,1
5450.858850091807,1
5454.929614040641,1
5458.620201141296,1
5462.317566123403,1
5466.042577199621,1
5469.740585329206,1
5473.464424234554,1
5477.173342740369,1
5481.220059988669,1
5484.929159478968,1
5488.677012176815,1
5492.34623371564,1
5496.391277329635,1
5500.098840512614,1
5503.806026717025,1
5507.556561229351,1
5511.219265588849,1
5515.262211804012,1
5518.967848777806,1
5523.00992775147,1
5526.736580190049,1
5530.419226013163,1
5534.460015887472,1
5538.152378234028,1
5541.866942542845,1
5545.869814672828,1
5549.608896898075,1
5553.625799277746,1
5557.685649516676,1
5561.447060789357,1
5565.361512408733,1
5569.124534172974,1
5573.160892013022,1
5576.923576503776,1
5580.831483067145,1
5584.594685122793,1
5588.629235704248,1
5592.611375708947,1
5596.620901785486,1
5600.393957009907,1
5604.457435508893,1
5608.458840713072,1
5612.154601910283,1
