element,sp_num,obs_wl_air(A),ritz_wl_air(A),obs-ritz,intens,Aki(s^-1),Acc,Type,
Cd,2,3030.605,3030.613+,-0.008,50,,,,
Cd,1,3080.8224,3080.8220,0.0004,150,,,,
Cd,2,3081.484,3081.483+,0.001,25,,,,
Cd,1,3082.5934,3082.5924,0.0010,30,,,,
Cd,2,3092.337,3092.334+,0.003,100,,,,
Cd,1,3133.1666,3133.1663,0.0003,200,,,,
Cd,2,3146.790,3146.785+,0.005,50,,,,
Cd,2,3164.343,3164.403+,-0.060,1,7.3e+05,C,,
Cd,2,3179.961,3179.958+,0.003,10,8.5e+05,C,,
Cd,2,3232.260,3232.257+,0.003,5,6.0e+05,C,,
Cd,2,3238.742,3238.729+,0.013,10,7.3e+05,C,,
Cd,2,3250.3240,3250.293+,0.031,150,2.78e+06,B,,
Cd,1,3252.5240,3252.5245,-0.0005,300,,,,
Cd,1,3261.0548,3261.0546,0.0002,300,4.06e+05,C,,
Cd,2,3283.565,3283.561+,0.004,3,1.40e+06,C,,
Cd,2,,3300.312+,,,1.8e+05,D+,,
Cd,2,3343.209,3343.197+,0.012,50,,,,
Cd,2,3385.486,3385.482+,0.004,50,3.33e+06,C+,,
Cd,2,3388.884,3388.889+,-0.005,30,1.70e+06,C,,
Cd,1,3403.6521,3403.6521, 0.0000,800,7.7e+07,C,,
Cd,2,,3403.812+,,,,,,
Cd,2,,3404.222+,,,1.8e+05,D+,,
Cd,2,3417.491,3417.488+,0.003,50,,,,
Cd,2,3422.228,3422.231+,-0.003,5,6.0e+05,D+,,
Cd,2,3442.416,3442.413+,0.003,50,,,,
Cd,2,3464.426,3464.429+,-0.003,100,,,,
Cd,1,3466.1996,3466.1996,0.0000,1000,1.2e+08,D,,
Cd,1,3467.6547,3467.6544,0.0003,800,6.7e+07,D,,
Cd,2,3483.079,3483.082+,-0.003,25,,,,
Cd,2,3495.436,3495.432+,0.004,150,4.85e+07,C+,,
Cd,1,3499.9518,3499.9522,-0.0004,25,,,,
Cd,2,3524.112,3524.110+,0.002,100,,,,
Cd,2,3535.6907,3535.669+,0.022,100,7.9e+05,C,,
Cd,1,3610.5077,3610.508, 0.000,1000,1.3e+08,D,,
Cd,1,3612.8729,3612.8724,0.0005,800,3.5e+07,D,,
Cd,1,3614.4529,3614.4529, 0.0000,60,,,,
Cd,1,3649.5584,3649.5568,0.0016,20,,,,
Cd,2,3666.756,3666.736+,0.020,20,2.7e+05,C,,
Cd,2,3826.710,3826.706+,0.004,15,5.e+04,D,,
Cd,2,3957.244,3957.230+,0.014,15,3.0e+05,C,,
Cd,1,3981.9257,3981.9257, 0.0000,10,,,,
Cd,2,4006.867,4006.862+,0.005,20,,,,
Cd,2,4029.124,4029.119+,0.005,100,,,,
Cd,2,4134.768,4134.764+,0.004,200,,,,
Cd,1,4140.2988,4140.3021,-0.0033,,4.7e+06,D,,
Cd,2,4141.493,4141.490+,0.003,50,,,,
Cd,2,4285.078,4285.08+,0.00,100,,,,
Cd,1,4306.6718,4306.6718, 0.0000,8,,,,
Cd,2,,4357.71+,,,,,,
Cd,2,4384.52,4384.51+,0.01,5,1.3e+05,D+,,
Cd,2,4412.41,4412.40+,0.01,100,,,,
Cd,1,4412.9894,4412.9894,0.0000,3,,,,
Cd,2,,4414.43+,,,1.1e+06,D+,,
Cd,2,4415.6859,4415.65+,0.04,1000,1.277e+06,A+,,
Cd,2,4440.45,4440.50+,-0.05,30*,,,,
Cd,2,4440.45,4440.50+,-0.05,30*,,,,
Cd,1,4662.3520,4662.3520, 0.0000,8,5.5e+06,C,,
Cd,1,4678.1493,4678.1500,-0.0007,200,1.3e+07,C,,
Cd,2,4744.693,4744.76+,-0.06,30*,,,,
Cd,2,4744.693,4744.76+,-0.06,30*,,,,
Cd,1,4799.9123,4799.9121,0.0002,300,4.1e+07,C,,
Cd,2,4881.725,4881.72+,0.00,50,1.13e+07,C,,
Cd,2,4918.85,4918.84+,0.01,20,9.e+05,D+,,
Cd,2,5025.50,5025.48+,0.02,50,2.39e+07,C+,,
Cd,1,5085.8217,5085.8214,0.0003,1000w,5.6e+07,C,,
Cd,1,5154.6605,5154.6618,-0.0013,6,,,,
Cd,2,5268.007,5268.03+,-0.02,100,,,,
Cd,2,5271.600,5271.63+,-0.03,100*,,,,
Cd,2,5271.600,5271.63+,-0.03,100*,,,,
Cd,2,,5277.8+,,,5.1e+06,C+,,
Cd,2,5337.4855,5337.48+,0.00,1000,1.72e+08,B+,,
Cd,2,5378.1351,5378.13+,0.00,1000,1.82e+08,B+,,
Cd,2,5381.887,5381.88+,0.00,200,1.21e+07,B+,,
Cd,2,5843.305,5843.28+,0.03,40,,,,
Cd,2,5880.220,5880.21+,0.01,50,,,,
Cd,1,6099.1421,6099.142, 0.000,300,,,,
Cd,1,6111.495,6111.495, 0.000,100,,,,
Cd,1,6325.1661,6325.1689,-0.0028,100,,,,
Cd,1,6330.0133,6330.0149,-0.0016,30,,,,
Cd,2,6354.724,6354.80+,-0.07,400,,,,
Cd,2,6359.982,6360.04+,-0.06,500*,,,,
Cd,2,6359.982,6360.04+,-0.06,500*,,,,
Cd,1,6438.4695,6438.4695, 0.0000,2000,5.9e+07,C,,
Cd,2,6464.936,6464.98+,-0.04,400,,,,
Cd,2,6567.648,6567.67+,-0.02,25,,,,
Cd,2,6725.7875,6725.82+,-0.03,500,,,,
Cd,2,6759.189,6759.24+,-0.06,100,,,,
Cd,1,6778.1157,6778.116,0.000,30,,,,
