element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,obs-ritz,intens,Aki(s^-1),Acc,Type,
Cs,2,3006.735,0.003,3006.73264,0.00011,0.002,250,,,,
Cs,2,3012.033,0.003,3012.03809,0.00011,-0.005,320,,,,
Cs,2,3020.3411,0.0004,3020.34093,0.00011,0.0002,920,,,,
Cs,2,3020.8967,0.0006,3020.89638,0.00013,0.0003,2500,,,,
Cs,2,3040.232,0.002,3040.23017,0.00011,0.0018,2100,,,,
Cs,2,3060.9395,0.0006,3060.93950,0.00013,0.0000,900,,,,
Cs,2,3067.3013,0.0008,3067.30042,0.00012,0.0009,3900,,,,
Cs,2,3078.03,0.09,3078.03064,0.00012, 0.00,120bl,,,,
Cs,2,3080.8564,0.0016,3080.85761,0.00016,-0.0012,3300,,,,
Cs,2,3084.8630,0.0020,3084.86167,0.00015,0.0013,1800,,,,
Cs,2,3092.2937,0.0007,3092.29346,0.00012,0.0002,9700,,,,
Cs,2,3113.1438,0.0016,3113.14481,0.00012,-0.0010,79,,,,
Cs,2,3141.5356,0.0009,3141.53506,0.00013,0.0005,4600,,,,
Cs,2,3151.1865,0.0008,3151.18613,0.00013,0.0004,29000,,,,
Cs,2,3161.350,0.002,3161.35104,0.00013,-0.0010,54,,,,
Cs,2,3173.3440,0.0014,3173.34448,0.00012,-0.0005,1500,,,,
Cs,2,3201.198,0.002,3201.19869,0.00013,-0.0007,3200,,,,
Cs,1,3207.507,0.005,3207.51864,0.00003,-0.012,,8.5e+02,C,,
Cs,1,,,3207.59329,0.00003,,m,,,,
Cs,1,3209.967,0.005,3209.980,0.003,-0.013,,9.4e+02,C,,
Cs,1,,,3210.06979,0.00003,,m,,,,
Cs,1,3212.831,0.005,3212.84326,0.00003,-0.012,,1.19e+03,C,,
Cs,1,,,3212.94374,0.00003,,m,,,,
Cs,1,3216.171,0.005,3216.184,0.003,-0.013,,1.49e+03,C,,
Cs,1,,,3216.30532,0.00003,,m,,,,
Cs,2,3219.186,0.004,3219.18338,0.00016,0.003,4000,,,,
Cs,1,3220.116,0.005,3220.1318,0.0003,-0.016,,1.7e+03,C,,
Cs,1,3220.258,0.005,3220.27191,0.00003,-0.014,,1.07e+01,C,,
Cs,1,3224.817,0.005,3224.834,0.003,-0.017,,2.0e+03,C,,
Cs,1,3224.982,0.005,3225.001,0.003,-0.019,,1.43e+01,C,,
Cs,1,3230.477,0.005,3230.4910,0.0003,-0.014,,2.5e+03,C,,
Cs,1,3230.680,0.005,3230.69404,0.00003,-0.014,,1.97e+01,C,,
Cs,1,3237.382,0.005,3237.39478,0.00003,-0.013,,2.8e+03,C,,
Cs,1,3237.630,0.005,3237.64381,0.00003,-0.014,,2.63e+01,C,,
Cs,1,3245.925,0.005,3245.9378,0.0003,-0.013,,3.45e+03,C,,
Cs,1,3246.236,0.005,3246.24820,0.00003,-0.012,,3.7e+01,C,,
Cs,2,3250.4657,0.0015,3250.46515,0.00017,0.0006,8300,,,,
Cs,1,3256.672,0.005,3256.6879,0.0003,-0.016,,4.25e+03,C,,
Cs,1,3257.071,0.005,3257.08223,0.00003,-0.011,,7.0e+01,C,,
Cs,2,3265.9103,0.0006,3265.91002,0.00017,0.0003,52000,,,,
Cs,2,3267.124,0.003,3267.12498,0.00017,-0.001,65000,,,,
Cs,1,3270.474,0.005,3270.4856,0.0003,-0.012,,6.5e+03,C+,,
Cs,1,3270.977,0.005,3270.99702,0.00003,-0.020,,1.23e+02,C,,
Cs,2,3271.6278,0.0005,3271.62817,0.00016,-0.0004,85000,,,,
Cs,1,3288.601,0.005,3288.6169,0.0003,-0.016,,8.9e+03,D+,,
Cs,1,3289.286,0.005,3289.29769,0.00003,-0.012,,2.5e+02,C+,,
Cs,2,3291.421,0.004,3291.41547,0.00017,0.006,310,,,,
Cs,1,3313.121,0.005,3313.1384,0.0003,-0.017,,1.45e+04,C+,,
Cs,1,3314.055,0.005,3314.07305,0.00003,-0.018,,5.0e+02,C+,,
Cs,2,3324.4770,0.0017,3324.47509,0.00018,0.0019,2100,,,,
Cs,2,3329.4167,0.0009,3329.41627,0.00014,0.0004,350,,,,
