element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,obs-ritz,intens,Aki(s^-1),Acc,Type,
He,1,3013.7,0.3,3013.71,0.15, 0.0,40,,,,
He,1,,,3187.733181,0.000020,,,5.6361e+06,AAA,,
He,1,3187.745,,3187.744395,0.000020,0.001,20*,5.6361e+06,AAA,,
He,1,3187.745,,3187.745310,0.000020, 0.000,20*,5.6361e+06,AAA,,
He,2,,,3202.946921,0.000020,,,4.5253e+07,AA,,
He,2,,,3202.961177,0.000020,,,2.6220e+07,AA,,
He,2,,,3202.982222,0.000020,,,4.8288e+06,AA,,
He,2,,,3202.999646,0.000020,,,2.6224e+07,AA,,
He,2,,,3203.111934,0.000020,,,6.7879e+07,AA,,
He,2,,,3203.112204,0.000020,,,5.4301e+07,AA,,
He,2,,,3203.124670,0.000020,,,2.3944e+05,AA,,
He,2,,,3203.125027,0.000020,,,9.0502e+06,AA,,
He,2,,,3203.160332,0.000020,,,9.6612e+06,AA,,
He,2,,,3203.163143,0.000020,,,2.3958e+06,AA,,
He,2,,,3203.164890,0.000020,,,7.2724e+07,AA,,
He,2,,,3203.171302,0.000020,,,4.8481e+06,AA,,
He,2,,,3203.184037,0.000020,,,2.1553e+06,AA,,
He,1,3231.266,,3231.270394,0.000020,-0.004,0,5.1015e+05,AAA,,
He,1,3258.275,,3258.273506,0.000020,0.001,1,6.9627e+05,AAA,,
He,1,,,3296.772939,0.000020,,,9.8432e+05,AAA,,
He,1,,,3354.555098,0.000021,,1,1.4537e+06,AAA,,
He,1,,,3447.589034,0.000021,,2,2.2691e+06,AAA,,
He,1,3554.415,,3554.406140,0.000021,0.009,1*,3.6386e+04,AAA,,
He,1,3554.415,,3554.406289,0.000021,0.009,1*,3.2745e+05,AAA,,
He,1,3554.415,,3554.406300,0.000021,0.009,1*,1.3099e+05,AAA,,
He,1,3554.415,,3554.415799,0.000021,-0.001,1*,5.4579e+05,AAA,,
He,1,3554.415,,3554.415948,0.000021,-0.001,1*,9.8235e+05,AAA,,
He,1,,,3554.540654,0.000021,,,7.2772e+05,AAA,,
He,1,3562.979,,3562.969075,0.000021,0.010,0*,2.6868e+05,AAA,,
He,1,3562.979,,3562.978780,0.000021,0.000,0*,1.6121e+05,AAA,,
He,1,,,3563.104237,0.000021,,,5.3735e+04,AAA,,
He,1,3587.270,,3587.261797,0.000021,0.008,1*,5.0298e+04,AAA,,
He,1,3587.270,,3587.262006,0.000021,0.008,1*,4.5265e+05,AAA,,
He,1,3587.270,,3587.262020,0.000021,0.008,1*,1.8107e+06,AAA,,
He,1,3587.270,,3587.271635,0.000021,-0.002,1*,7.5448e+05,AAA,,
He,1,3587.270,,3587.271843,0.000021,-0.002,1*,1.3580e+06,AAA,,
He,1,,,3587.398810,0.000021,,0,1.0060e+06,AAA,,
He,1,,,3599.304502,0.000021,,,3.7358e+05,AAA,,
He,1,,,3599.314406,0.000021,,,2.2415e+05,AAA,,
He,1,,,3599.442436,0.000021,,,7.4716e+04,AAA,,
He,1,3613.643,,3613.642093,0.000021,0.001,3,3.8022e+06,AAA,,
He,1,,,3634.230767,0.000021,,2*,7.2396e+04,AAA,,
He,1,,,3634.231071,0.000021,,2*,6.5151e+05,AAA,,
He,1,,,3634.231092,0.000021,,2*,2.6063e+06,AAA,,
He,1,,,3634.240864,0.000021,,2*,1.0859e+06,AAA,,
He,1,,,3634.241168,0.000021,,2*,1.9546e+06,AAA,,
He,1,,,3634.371390,0.000021,,0,1.4479e+06,AAA,,
He,1,3651.990,,3651.981531,0.000021,0.008,1*,5.4136e+05,AAA,,
He,1,3651.990,,3651.991727,0.000021,-0.002,1*,3.2481e+05,AAA,,
He,1,,,3652.123532,0.000021,,0,1.0827e+05,AAA,,
He,1,3705.005,,3704.995274,0.000021,0.010,3*,1.0980e+05,AAA,,
He,1,3705.005,,3704.995746,0.000021,0.009,3*,9.8814e+05,AAA,,
He,1,3705.005,,3704.995779,0.000021,0.009,3*,3.9529e+06,AAA,,
He,1,3705.005,,3705.005768,0.000021,-0.001,3*,1.6470e+06,AAA,,
He,1,3705.005,,3705.006240,0.000021,-0.001,3*,2.9644e+06,AAA,,
He,1,,,3705.141427,0.000021,,0,2.1961e+06,AAA,,
He,1,,,3732.863477,0.000021,,1*,8.2750e+05,AAA,,
He,1,,,3732.874130,0.000021,,1*,4.9650e+05,AAA,,
He,1,,,3733.011837,0.000021,,,1.6550e+05,AAA,,
He,1,3819.6074,0.0008,3819.601975,0.000021,0.0054,10*,1.7876e+05,AAA,,
He,1,3819.6074,0.0008,3819.602773,0.000021,0.0046,10*,1.6087e+06,AAA,,
He,1,3819.6074,0.0008,3819.602828,0.000021,0.0046,10*,6.4353e+06,AAA,,
He,1,3819.6074,0.0008,3819.613129,0.000021,-0.0057,10*,2.6814e+06,AAA,,
He,1,3819.6074,0.0008,3819.613927,0.000021,-0.0065,10*,4.8261e+06,AAA,,
He,1,,,3819.757310,0.000021,,1,3.5752e+06,AAA,,
He,1,3833.554,,3833.548713,0.000021,0.005,0,9.6470e+05,AAA,,
He,1,,,3838.100125,0.000021,,,3.7425e+05,AAA,,
He,1,,,3867.472343,0.000021,,3*,1.3592e+06,AAA,,
He,1,,,3867.483778,0.000021,,3*,8.1551e+05,AAA,,
He,1,,,3867.631595,0.000021,,1,2.7184e+05,AAA,,
He,1,3871.791,,3871.786406,0.000021,0.005,1,1.3386e+06,AAA,,
He,1,,,3878.176858,0.000021,,,5.1753e+05,AAA,,
He,1,,,3888.604644,0.000021,,,9.4746e+06,AAA,,
He,1,3888.648,,3888.645590,0.000021,0.002,500*,9.4746e+06,AAA,,
He,1,3888.648,,3888.648915,0.000021,-0.001,500*,9.4746e+06,AAA,,
He,1,,,3926.544387,0.000021,,1,1.9371e+06,AAA,,
He,1,3935.912,,3935.945223,0.000022,-0.033,0,7.4475e+05,AAA,,
He,1,3964.7291,,3964.728829,0.000022,0.0003,20,6.9507e+06,AAA,,
He,1,,,4009.256516,0.000020,,1,2.9612e+06,AAA,,
He,1,4023.973,,4023.979795,0.000020,-0.007,1,1.1281e+06,AAA,,
He,1,4026.1914,,4026.184368,0.000020,0.0070,50*,3.2224e+05,AAA,,
He,1,4026.1914,,4026.185901,0.000020,0.0055,50*,2.8999e+06,AAA,,
He,1,4026.1914,,4026.186005,0.000020,0.0054,50*,1.1601e+07,AAA,,
He,1,4026.1914,,4026.196760,0.000020,-0.0054,50*,4.8336e+06,AAA,,
He,1,4026.1914,,4026.198294,0.000020,-0.0069,50*,8.6997e+06,AAA,,
He,1,,,4026.356959,0.000020,,5,6.4448e+06,AAA,,
He,1,4120.8154,0.0012,4120.810765,0.000021,0.0046,12*,2.4738e+06,AAA,,
He,1,4120.8154,0.0012,4120.823747,0.000021,-0.0083,12*,1.4843e+06,AAA,,
He,1,,,4120.991564,0.000021,,2,4.9476e+05,AAA,,
He,1,4143.761,,4143.759059,0.000021,0.002,3,4.8812e+06,AAA,,
He,1,4168.967,,4168.971512,0.000021,-0.005,1,1.8298e+06,AAA,,
He,1,4387.9296,0.0006,4387.929143,0.000022,0.0005,10,8.9889e+06,AAA,,
He,1,4437.551,,4437.553428,0.000022,-0.002,3,3.2689e+06,AAA,,
He,1,4471.4802,0.0015,4471.470373,0.000022,0.0098,200*,6.8275e+05,AAA,,
He,1,4471.4802,0.0015,4471.474077,0.000022,0.0061,200*,6.1440e+06,AAA,,
He,1,4471.4802,0.0015,4471.474317,0.000022,0.0059,200*,2.4579e+07,AAA,,
He,1,4471.4802,0.0015,4471.485658,0.000022,-0.0055,200*,1.0241e+07,AAA,,
He,1,4471.4802,0.0015,4471.489362,0.000022,-0.0092,200*,1.8432e+07,AAA,,
He,1,,,4471.683251,0.000022,,25,1.3655e+07,AAA,,
He,2,,,4685.376850,0.000024,,,9.3899e+07,AA,,
He,2,,,4685.407226,0.000023,,,4.9070e+07,AA,,
He,2,,,4685.524404,0.000023,,,9.7968e+06,AA,,
He,2,,,4685.568006,0.000023,,,4.9080e+07,AA,,
He,2,,,4685.703850,0.000023,,,2.0605e+08,AA,,
He,2,,,4685.704380,0.000024,,,1.1268e+08,AA,,
