element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,obs-ritz,intens,Aki(s^-1),Acc,Type,
Ar,2,3000.109,0.003,3000.10929,0.00006, 0.000,3,,,,
Ar,2,3000.4451,0.0005,3000.44527,0.00018,-0.0002,17,1.5e+08,D,,
Ar,2,3002.964,0.003,3002.96447,0.00014, 0.000,4,,,,
Ar,2,3004.486,0.006,3004.48994,0.00015,-0.004,2,,,,
Ar,2,3014.4819,0.0010,3014.48204,0.00006,-0.0001,7,,,,
Ar,2,3026.7455,0.0002,3026.74550,0.00013,0.00000,35,,,,
Ar,2,3028.721,0.006,3028.72055,0.00018,0.000,3,,,,
Ar,2,3028.9140,0.0002,3028.91004,0.00007,0.00396,47*,,,,
Ar,2,3028.9140,0.0002,3028.91399,0.00018,0.0000,47*,2.3e+08,D,,
Ar,2,3033.5082,0.0001,3033.50811,0.00003,0.00009,78,9.9e+06,B,,
Ar,2,3036.887,0.012,3036.89238,0.00007,-0.005,2bl?,,,,
Ar,2,3042.463,0.006,3042.46739,0.00011,-0.004,1,,,,
Ar,2,3046.0787,0.0008,3046.07913,0.00005,-0.0004,6,,,,
Ar,2,3047.053,0.006,3047.05269,0.00004,0.000,0.5,,,,
Ar,2,3048.021,0.006,3048.02474,0.00006,-0.004,2,,,,
Ar,2,3048.784,0.006,3048.78841,0.00006,-0.004,2,,,,
Ar,2,3050.043,0.006,3050.04111,0.00010,0.002,1,,,,
Ar,2,3053.151,0.006,3053.15013,0.00010,0.001,5,,,,
Ar,2,3055.281,0.006,3055.27974,0.00010,0.001,0.5,,,,
Ar,2,3060.9059,0.0010,3060.90557,0.00009,0.0003,7,,,,
Ar,2,3062.643,0.006,3062.64300,0.00009,0.000,3,,,,
Ar,2,3065.120,0.012,3065.13328,0.00009,-0.013,3wbl,,,,
Ar,2,3065.400,0.006,3065.41182,0.00004,-0.012,0.5,,,,
Ar,2,3066.889,0.006,3066.88823,0.00003,0.001,6,,,,
Ar,2,3071.66,0.02,3071.66501,0.00003,-0.005,0.5,,,,
Ar,2,3082.9777,0.0007,3082.97760,0.00014,0.0001,10,,,,
Ar,2,3083.193,0.006,3083.19881,0.00008,-0.006,1,,,,
Ar,2,3085.0273,0.0003,3085.02675,0.00019,0.0006,19,,,,
Ar,2,3088.2151,0.0016,3088.2132,0.0011,0.0019,8,,,,
Ar,2,3088.910,0.006,3088.91368,0.00016,-0.004,3,,,,
Ar,2,3093.4018,0.0001,3093.40173,0.00006,0.00007,68,4.4e+08,D,,
Ar,2,3094.9654,0.0007,3094.96469,0.00019,0.0007,8,,,,
Ar,2,3099.925,0.003,3099.92564,0.00016,-0.001,4,,,,
Ar,2,3101.004,0.006,3101.00855,0.00004,-0.005,2,,,,
Ar,2,3102.5862,0.0013,3102.58606,0.00016,0.0001,5,,,,
Ar,2,3102.953,0.006,3102.953,0.006,0.000,1,,,,
Ar,2,3104.3601,0.0005,3104.35963,0.00019,0.0005,17,,,,
Ar,2,3108.801,0.006,3108.80493,0.00004,-0.004,2,,,,
Ar,2,3109.711,0.006,3109.71205,0.00015,-0.001,4,,,,
Ar,2,3109.98,0.02,3109.97801,0.00022,0.002,0.5,,,,
Ar,2,3114.378,0.006,3114.38155,0.00016,-0.004,3,,,,
Ar,2,3124.268,0.006,3124.27803,0.00007,-0.010,1,,,,
Ar,2,3136.4839,0.0011,3136.48425,0.00020,-0.0004,7,,,,
Ar,2,3137.629,0.006,3137.63261,0.00007,-0.004,3,,,,
Ar,2,3139.0174,0.0001,3139.01722,0.00004,0.00018,79,5.2e+07,C,,
