element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,obs-ritz,intens,Aki(s^-1),Acc,Type,
Hg,2,3004.385,0.004,3004.3863,0.0022,-0.001,300h,6.0e+07,,,
Hg,2,3004.863,0.004,3004.8640,0.0010,-0.001,100,6.3e+05,,,
Hg,2,3006.507,0.004,3006.5033,0.0011,0.004,2000,9.5e+06,,,
Hg,2,3011.162,0.004,3011.1621,0.0017, 0.000,300,1.0e+07,,,
Hg,1,3021.504,0.001,3021.5041,0.0010,-0.0001,1200,5.1e+07,B+,,
Hg,1,3023.471,0.002,3023.4748,0.0006,-0.0038,300,9.4e+06,B,,
Hg,1,3025.606,0.006,3025.6150,0.0017,-0.009,30,,,,
Hg,1,3027.490,0.002,3027.4888,0.0006,0.0012,60,1.98e+06,C+,,
Hg,2,3034.916,0.004,3034.9148,0.0015,0.001,2000,4.2e+07,,,
Hg,2,3044.610,0.004,3044.6113,0.0012,-0.001,25p,9.2e+03,,,
Hg,2,3045.161,0.004,3045.1583,0.0015,0.003,30w,1.9e+05,,,
Hg,2,3045.161,0.004,3045.1585,0.0016,0.002,30w,6.9e+03,,,
Hg,2,3048.503,0.004,3048.4940,0.0016,0.009,25,2.4e+05,,,
Hg,2,3055.765,0.004,3055.7647,0.0010,0.000,60,1.8e+06,,,
Hg,2,3064.529,0.004,3064.528,0.003,0.001,800,6.0e+06,,,
Hg,2,3067.684,0.004,3067.6895,0.0018,-0.006,480,8.0e+06,,,
Hg,2,3069.177,0.004,,,,40,,,,
Hg,2,3070.478,0.004,,,,35,,,,
Hg,2,3087.549,0.004,,,,1100c,,,,
Hg,2,3102.668,0.004,,,,150,,,,
Hg,2,3116.195,0.004,3116.1988,0.0006,-0.004,15000,8.8e+06,,,
Hg,1,3125.674,0.001,3125.6732,0.0005,0.0008,4000,6.6e+07,B+,,
Hg,1,3131.555,0.001,3131.5547,0.0006,0.0003,3000,,,,
Hg,1,3131.844,0.001,3131.8443,0.0005,-0.0003,4000,,,,
Hg,2,3139.679,0.004,,,,30,,,,
Hg,2,3172.116,0.003,3172.1148,0.0025,0.001,40h,1.2e+05,,,
Hg,2,3187.744,0.004,,,,70h,,,,
Hg,2,3191.019,0.003,3191.0225,0.0009,-0.003,7500,1.5e+07,,,
Hg,2,3191.591,0.003,,,,35,,,,
Hg,2,3201.385,0.003,3201.3868,0.0008,-0.002,2500,1.0e+07,,,
Hg,2,3207.709,0.003,,,,500,,,,
Hg,2,3208.169,0.003,3208.1713,0.0015,-0.002,120000,8.2e+07,,,
Hg,2,3227.813,0.003,,,,150h,,,,
Hg,2,3252.076,0.003,3252.0733,0.0010,0.003,450,2.5e+06,,,
Hg,2,3252.916,0.003,,,,100,,,,
Hg,2,3256.018,0.003,,,,80h,,,,
Hg,2,3257.501,0.004,3257.4985,0.0018,0.002,900h,1.0e+07,,,
Hg,2,3261.552,0.011,3261.5627,0.0014,-0.011,3G,6.5e+04,,,
Hg,2,3264.039,0.004,3264.0340,0.0014,0.005,60000,2.3e+07,,,
Hg,2,3264.552,0.004,3264.5577,0.0013,-0.006,100l,1.4e+06,,,
Hg,2,3277.846,0.004,3277.8451,0.0019,0.001,10000,1.8e+07,,,
Hg,2,3278.104,0.004,3278.1030,0.0015,0.001,100h,4.8e+06,,,
Hg,2,3284.712,0.004,3284.7019,0.0016,0.010,10,1.0e+06,,,
Hg,2,3289.366,0.004,3289.3623,0.0023,0.004,300h,1.3e+04,,,
Hg,2,3317.279,0.004,3317.2809,0.0025,-0.002,700,5.5e+06,,,
Hg,2,3330.001,0.004,3330.0002,0.0023,0.001,150c,3.5e+04,,,
Hg,2,3335.226,0.004,,,,300,,,,
Hg,2,3338.424,0.004,3338.4240,0.0018,0.000,2000c,2.4e+06,,,
Hg,2,3338.709,0.004,,,,30,,,,
Hg,2,3338.964,0.004,3338.964,0.003,0.000,50,2.6e+04,,,
Hg,1,3341.484,0.001,3341.4834,0.0008,0.0006,700,1.68e+07,B+,,
Hg,2,3348.487,0.004,,,,80,,,,
Hg,2,3362.671,0.004,3362.6705,0.0020,0.001,10,5.5e+05,,,
Hg,1,3362.71,0.03,3362.71,0.03,0.00,,,,,
Hg,1,3368.15,0.03,3368.15,0.03,0.00,,,,,
Hg,1,3371.73,0.03,3371.73,0.03, 0.00,,,,,
Hg,2,3373.333,0.004,,,,500,,,,
Hg,1,3374.93,0.03,3374.93,0.03, 0.00,,,,,
Hg,1,3379.44,0.03,3379.427,0.023,0.01,,,,,
Hg,1,3383.30,0.03,3383.293,0.023,0.01,,,,,
Hg,2,3385.103,0.004,3385.1067,0.0017,-0.004,2000c,1.5e+07,,,
Hg,1,3388.78,0.03,3388.821,0.023,-0.04,,,,,
Hg,1,3393.71,0.03,3393.688,0.023,0.02,,,,,
Hg,1,3400.68,0.03,3400.68,0.03, 0.00,,,,,
Hg,2,3401.389,0.004,,,,200,,,,
Hg,1,3406.99,0.03,3406.988,0.023,0.00,,,,,
Hg,1,3415.98,0.03,3415.976,0.023,0.00,,,,,
Hg,1,3424.26,0.03,3424.307,0.023,-0.05,,,,,
Hg,2,3424.789,0.004,,,,400,,,,
Hg,2,3427.310,0.004,,,,100,,,,
Hg,2,3429.584,0.004,3429.5843,0.0013, 0.000,1000c,3.5e+03,,,
Hg,1,3436.15,0.03,3436.15,0.04,0.00,,,,,
Hg,2,3436.917,0.004,3436.9129,0.0024,0.004,400c,1.1e+06,,,
Hg,1,3446.64,0.03,3446.656,0.024,-0.02,,,,,
Hg,1,3447.27,0.03,3447.262,0.020,0.01,,,,,
Hg,2,3451.689,0.004,3451.6871,0.0017,0.002,30000,1.8e+07,,,
Hg,2,3459.164,0.012,3459.1703,0.0011,-0.006,350G,1.5e+05,,,
Hg,1,3463.52,0.03,3463.505,0.024,0.01,,,,,
Hg,1,3478.04,0.03,3478.035,0.023,0.00,,,,,
Hg,1,3478.91,0.03,3478.899,0.023,0.01,,,,,
Hg,2,3484.872,0.004,3484.8719,0.0023,0.000,400s,6.0e+06,,,
Hg,2,3488.399,0.004,,,,150,,,,
Hg,2,3493.859,0.004,3493.860,0.003,-0.001,8000h,2.7e+07,,,
Hg,1,3502.00,0.03,3501.991,0.025,0.01,,,,,
Hg,2,3509.758,0.004,3509.7560,0.0024,0.002,100h,4.2e+04,,,
Hg,2,3510.625,0.004,3510.6214,0.0019,0.004,800h,4.8e+06,,,
Hg,2,3515.164,0.004,3515.1596,0.0019,0.004,200h,5.6e+05,,,
Hg,2,3515.164,0.004,3515.1600,0.0020,0.004,200h,2.0e+04,,,
Hg,1,3523.02,0.03,3523.009,0.021,0.01,,,,,
Hg,1,3524.27,0.03,3524.213,0.021,0.06,,,,,
Hg,2,3532.594,0.004,3532.599,0.004,-0.005,100000,3.0e+07,,,
Hg,2,3541.352,0.004,3541.3494,0.0024,0.003,100h,3.0e+04,,,
Hg,1,3543.46,0.04,3543.352,0.020,0.11,60,,,,
Hg,2,3549.411,0.004,3549.4074,0.0013,0.004,30000,1.5e+07,,,
Hg,1,3558.73,0.03,3558.730,0.023, 0.00,,,,,
Hg,2,3562.385,0.004,,,,100,,,,
Hg,1,3591.01,0.03,3590.992,0.018,0.02,,,,,
Hg,1,3591.48,0.2,3591.53,0.03,-0.05,1,,,,
Hg,1,3592.74,0.03,3592.748,0.019,-0.01,,,,,
Hg,2,3602.931,0.004,3602.9286,0.0021,0.002,600c,9.8e+05,,,
