element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),obs-ritz,intens,Aki(s^-1),Acc,Type,
Xe,2,3003.98,,3003.973+,0.01,40,,,,
Xe,2,3005.97,,3005.858+,0.11,1-,,,,
Xe,2,3006.97,,3006.982+,-0.01,2,,,,
Xe,2,3009.03,,3009.135+,-0.10,0bl,,,,
Xe,2,3013.82,,3013.824+, 0.00,2h^,,,,
Xe,2,3015.52,,3015.624+,-0.10,20h,,,,
Xe,2,3017.43,,3017.472+,-0.04,100h,,,,
Xe,2,3019.78,,3019.770+,0.01,2h,,,,
Xe,2,3022.10,,3022.18+,-0.08,2H,,,,
Xe,2,3027.27,,3027.288+,-0.02,3,,,,
Xe,2,3027.63,,3027.613+,0.02,2h,,,,
Xe,2,3033.71,,3033.710+,0.00,10,,,,
Xe,2,3036.80,,3036.869+,-0.07,30h,,,,
Xe,2,3037.35,,3037.323+,0.03,,,,,
Xe,2,3044.75,,3044.764+,-0.01,10,,,,
Xe,2,3045.25,,3045.271+,-0.02,30,,,,
Xe,2,3046.27,,3046.220+,0.05,25,,,,
Xe,2,3047.56,,3047.529+,0.03,0,,,,
Xe,2,3047.76,,3047.67+,0.09,8H,,,,
Xe,2,3047.83,,3047.838+,-0.01,0,,,,
Xe,2,3048.17,,3048.13+,0.04,5,,,,
Xe,2,3048.50,,3048.528+,-0.03,3h^,,,,
Xe,2,3050.98,,3050.998+,-0.02,3,,,,
Xe,2,3055.50,,3055.478+,0.02,1,,,,
Xe,2,3056.49,,3056.526+,-0.04,20,,,,
Xe,2,3061.54,,3061.562+,-0.02,12,,,,
Xe,2,3063.72,,3063.789+,-0.07,0,,,,
Xe,2,3066.60,,3066.580+,0.02,1h,,,,
Xe,2,3067.30,,3067.277+,0.02,30*,,,,
Xe,2,3067.30,,3067.314+,-0.01,30*,,,,
Xe,2,3073.17,,3073.187+,-0.02,2h,,,,
Xe,2,3082.62,,3082.613+,0.01,20,,,,
Xe,2,3082.87,,3082.861+,0.01,2,,,,
Xe,2,3085.12,,3085.115+,0.00,1-*,,,,
Xe,2,3085.12,,3085.181+,-0.06,1-*,,,,
Xe,2,3087.34,,3087.356+,-0.02,1-,,,,
Xe,2,3090.47,,3090.485+,-0.01,1,,,,
Xe,2,3092.41,,3092.414+, 0.00,15,,,,
Xe,2,3094.53,,3094.551+,-0.02,30h,,,,
Xe,2,3096.90,,3096.882+,0.02,8,,,,
Xe,2,3098.21,,3098.199+,0.01,2,,,,
Xe,2,3098.50,,3098.507+,-0.01,1,,,,
Xe,2,3101.51,,3101.600+,-0.09,50h,,,,
Xe,2,3104.40,,3104.428+,-0.03,70h,,,,
Xe,2,3106.54,,3106.496+,0.04,0bl,,,,
Xe,2,3107.82,,3107.996+,-0.18,20Hl,,,,
Xe,2,3112.74,,3112.740+, 0.00,20,,,,
Xe,2,3116.78,,3116.765+,0.02,2h,,,,
Xe,2,3121.87,,3121.879+,-0.01,250,,,,
Xe,2,3124.02,,3124.078+,-0.06,12h,,,,
Xe,2,3128.40,,3128.309+,0.09,1H*,,,,
Xe,2,3128.40,,3128.467+,-0.07,1H*,,,,
Xe,2,3130.40,,3130.567+,-0.17,3H,,,,
Xe,2,3142.54,,3142.552+,-0.01,0,,,,
Xe,2,3143.62,,3143.660+,-0.04,6,,,,
Xe,2,3145.02,,3145.037+,-0.02,4h,,,,
Xe,2,3148.99,,3148.988+,0.00,5,,,,
Xe,2,3150.97,,3151.016+,-0.05,3,,,,
Xe,2,3159.75,,3159.771+,-0.02,4h,,,,
Xe,2,3162.93,,3162.949+,-0.02,25,,,,
Xe,2,3164.23,,3164.246+,-0.02,6,,,,
Xe,2,3165.27,,3165.277+,-0.01,6,,,,
Xe,2,3168.67,,3168.672+, 0.00,3h,,,,
Xe,2,3174.59,,3174.574+,0.02,1,,,,
Xe,2,3175.64,,3175.645+, 0.00,80,,,,
Xe,2,3181.39,,3181.386+,0.00,3h,,,,
Xe,2,3184.35,,3184.467+,-0.12,10h,,,,
Xe,2,3193.75,,3193.751+, 0.00,1h,,,,
Xe,2,3194.85,,3194.90+,-0.05,0*,,,,
Xe,2,3194.85,,3194.966+,-0.12,0*,,,,
Xe,2,3196.22,,3196.203+,0.02,25,,,,
Xe,2,3201.68,,3201.711+,-0.03,3h,,,,
Xe,2,3202.04,,3202.046+,-0.01,10,,,,
Xe,2,3206.72,,3206.741+,-0.02,1-^,,,,
Xe,2,3211.59,,3211.590+, 0.00,1H,,,,
Xe,2,3212.29,,3212.285+,0.01,5h,,,,
Xe,2,3225.08,,3225.084+, 0.00,15,,,,
Xe,2,3233.23,,3233.232+, 0.00,1,,,,
Xe,2,3247.74,,3247.790+,-0.05,6Hl,,,,
Xe,2,3248.83,,3248.776+,0.05,1-^,,,,
Xe,2,3249.35,,3249.371+,-0.02,1-^,,,,
Xe,2,3250.04,,3250.090+,-0.05,2h,,,,
Xe,2,3250.56,,3250.567+,-0.01,25,,,,
Xe,2,3259.36,,3259.353+,0.01,12,,,,
Xe,2,3260.73,,3260.748+,-0.02,2,,,,
Xe,2,3262.02,,3262.038+,-0.02,4h,,,,
Xe,2,3264.03,,3264.067+,-0.04,0,,,,
Xe,2,3267.34,,3267.335+,0.00,3h,,,,
Xe,2,3268.08,,3268.104+,-0.02,1h^,,,,
Xe,2,3272.91,,3272.936+,-0.03,60,,,,
Xe,2,3274.80,,3274.797+,0.00,2H^,,,,
Xe,2,3281.26,,3281.265+,-0.01,12h*,,,,
Xe,2,3281.26,,3281.311+,-0.05,12h*,,,,
Xe,2,3296.20,,3296.172+,0.03,1h,,,,
Xe,2,3298.72,,3298.730+,-0.01,6,,,,
Xe,2,3310.85,,3310.863+,-0.01,1h,,,,
Xe,2,3311.80,,3311.823+,-0.02,2,,,,
Xe,2,3313.48,,3313.515+,-0.03,2h,,,,
Xe,2,3316.39,,3316.371+,0.02,6h,,,,
Xe,2,3320.57,,3320.619+,-0.05,1h,,,,
Xe,2,3327.46,,3327.483+,-0.02,15,,,,
Xe,2,3338.80,,3338.821+,-0.02,4h,,,,
Xe,2,3339.49,,3339.575+,-0.09,3,,,,
Xe,1,3340.04,0.01,3340.04+, 0.00,1-,,,,
Xe,2,3347.27,,3347.292+,-0.02,3H,,,,
Xe,1,3348.63,0.01,3348.676+,-0.046,1-,,,,
Xe,2,3353.44,,3353.419+,0.02,1h^,,,,
Xe,1,3358.17,0.01,3358.167+,0.003,1h-,,,,
Xe,1,3358.96,0.01,3358.957+,0.003,1h-,,,,
Xe,2,3366.72,,3366.747+,-0.03,300h,,,,
Xe,1,3370.34,0.01,3370.355+,-0.015,1h,,,,
Xe,2,3373.92,,3373.914+,0.01,2h,,,,
Xe,2,3375.16,,3375.192+,-0.03,3h,,,,
Xe,2,3381.34,,3381.334+,0.01,1h^,,,,
Xe,1,3383.20,0.01,3383.197+,0.003,1,,,,
Xe,2,3384.13,,3384.150+,-0.02,40h,,,,
Xe,1,3384.36,0.01,3384.358+,0.002,1,,,,
Xe,2,3386.30,,3386.281+,0.02,2h,,,,
Xe,2,3388.05,,3388.087+,-0.04,2,,,,
Xe,2,3395.50,,3395.519+,-0.02,3,,,,
Xe,2,3399.37,,3399.380+,-0.01,1,,,,
Xe,1,3400.07,0.01,3400.132+,-0.062,2,,,,
Xe,1,3400.79,0.01,3400.879+,-0.089,1-,,,,
Xe,2,3412.58,,3412.615+,-0.03,1H-,,,,
Xe,2,3413.20,,3413.201+, 0.00,6H,,,,
Xe,2,3417.04,,3417.004+,0.04,1-,,,,
Xe,1,3418.37,0.01,3418.367+,0.003,2,,,,
Xe,1,3420.00,0.01,3419.998+,0.002,2,,,,
Xe,2,3420.73,,3420.739+,-0.01,40,,,,
Xe,2,3432.49,,3432.525+,-0.04,1,,,,
Xe,2,3436.48,,3436.475+,0.01,1-,,,,
Xe,1,3442.66,0.01,3442.686+,-0.026,3,,,,
Xe,1,3443.83,0.01,3443.879+,-0.049,1*,,,,
