element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,obs-ritz,intens,Aki(s^-1),Acc,Type,
Zn,1,3018.3559,0.0007,3018.3559,0.0003, 0.0000,91000,,,,
Zn,1,3035.7788,0.0004,3035.77901,0.00022,-0.0002,150000,,,,
Zn,1,3072.0627,0.0004,3072.06283,0.00023,-0.0001,180000,,,,
Zn,1,3075.89713,0.00021,3075.89703,0.00019,0.00010,88000,3.8e+04,B,,
Zn,2,3171.45,,3171.451+,, 0.00,100,,,,
Zn,2,3172.23,,3172.20+,,0.03,100,,,,
Zn,2,3196.311,,3196.31+,, 0.00,300,,,,
Zn,2,3197.100,,3197.11+,,-0.01,100,,,,
Zn,1,3282.32559,0.00022,3282.32554,0.00015,0.00005,360000,9.0e+07,B,,
Zn,2,3299.417,,3299.42+,, 0.00,50,,,,
Zn,1,3302.58289,0.00022,3302.58290,0.00016,-0.00001,1400000,1.20e+08,B,,
Zn,1,3302.93949,0.00022,3302.93951,0.00014,-0.00002,550000,6.7e+07,B,,
Zn,2,3306.010,,3306.01+,, 0.00,75,,,,
Zn,1,3345.01339,0.00022,3345.01340,0.00021,-0.00001,2900000,1.70e+08,B,,
Zn,1,3345.56939,0.00022,3345.56938,0.00017,0.00001,530000,4.0e+07,B,,
Zn,1,3345.9353,0.0003,3345.93534,0.00016, 0.0000,75000,4.5e+06,B,,
Zn,1,3799.00,0.03,3799.00,0.03,0.00,20000,,,,
Zn,2,3806.344,,3806.31+,,0.03,50,,,,
Zn,2,3840.29,,3840.29+,, 0.00,100,,,,
Zn,1,,,3879.141,0.024,,,,,,
Zn,1,3883.34,0.03,,,,21000,,,,
Zn,1,3965.43,0.03,3965.43,0.03,0.00,78000,,,,
Zn,2,4078.14,,4078.13+,,0.01,40,8.9e+06,C,,
Zn,1,4113.21,0.13,4113.1114,0.0017,0.10,81000,,,,
Zn,2,4119.39,,4119.39+,,0.00,40,1.56e+07,C,,
Zn,1,4292.8836,0.0008,4292.8830,0.0006,0.0006,32000,,,,
Zn,1,4298.3249,0.0006,4298.3250,0.0006,-0.0001,49000,,,,
Zn,1,4553.27,0.04,4553.26,0.03,0.01,,,,,
Zn,1,4555.49,0.04,4555.48,0.03,0.01,,,,,
Zn,1,4557.96,0.04,4557.95,0.03,0.01,,,,,
Zn,1,4560.74,0.04,4560.73,0.03,0.01,,,,,
Zn,1,4563.89,0.04,4563.88,0.03,0.01,,,,,
Zn,1,4567.45,0.04,4567.45,0.03, 0.00,,,,,
Zn,1,4571.55,0.04,4571.55,0.03,0.00,,,,,
Zn,1,4576.24,0.04,4576.23,0.03,0.01,,,,,
Zn,1,4581.67,0.04,4581.67,0.03,0.00,,,,,
Zn,1,4587.95,0.04,4587.96,0.03,-0.01,,,,,
Zn,1,4595.42,0.04,4595.41,0.03,0.01,,,,,
Zn,1,4604.22,0.04,4604.23,0.03,-0.01,,,,,
Zn,1,4614.83,0.04,4614.82,0.03,0.01,,,,,
Zn,1,4627.69,0.04,4627.68,0.03,0.01,,,,,
Zn,1,4629.80810,0.00022,4629.80809,0.00022,0.00001,390000,,,,
Zn,1,4643.51,0.04,4643.51,0.03,0.00,,,,,
Zn,1,4665.59,0.04,4665.59,0.04,0.00,,,,,
Zn,1,4680.13590,0.00022,4680.13589,0.00020,0.00001,540000,,,,
Zn,1,4691.43,0.04,4691.43,0.04,0.00,,,,,
Zn,1,4722.15690,0.00022,4722.15691,0.00018,-0.00001,1000000,,,,
Zn,1,4725.27,0.04,4725.27,0.04, 0.00,,,,,
Zn,1,4770.71,0.05,4770.71,0.05, 0.00,,,,,
Zn,1,4810.53210,0.00023,4810.53206,0.00019,0.00004,1100000,,,,
Zn,2,4911.6269,,4911.61+,,0.02,800,1.82e+08,C,,
Zn,2,4923.8892,,4923.86+,,0.03,7,,,,
Zn,2,4924.0132,,4924.01+,,0.01,500,2.72e+08,C,,
Zn,1,5068.65,0.04,5068.66,0.04,-0.01,77000,,,,
Zn,1,5069.50,0.04,5069.43,0.03,0.07,21000,,,,
Zn,1,5069.98,0.06,5069.98,0.06,0.00,3300,,,,
Zn,1,5181.9819,0.0006,5181.9819,0.0006,0.0000,120000,,,,
Zn,1,5308.64,0.04,5308.66,0.04,-0.02,380000,,,,
Zn,1,5310.24,0.04,5310.17,0.03,0.07,160000,,,,
Zn,1,5311.02,0.04,5311.01,0.05,0.01,56000,,,,
Zn,1,5772.10,0.05,5772.050,0.004,0.05,490000,,,,
Zn,1,5775.50,0.05,5775.452,0.003,0.05,210000,,,,
Zn,1,5777.11,0.05,5777.033,0.006,0.08,85000,,,,
Zn,2,5894.3607,,5894.37+,,-0.01,500,,,,
Zn,2,6021.18,,6021.2+,, 0.0,500,7.5e+07,C,,
Zn,2,6102.49,,6102.5+,, 0.0,500,6.21e+07,C,,
Zn,2,6111.53,,6111.6+,, 0.0,100,4.28e+06,C,,
Zn,2,6214.5778,,6214.63+,,-0.06,500,,,,
Zn,1,6237.896,0.003,6237.8967,0.0012,-0.001,93000,,,,
Zn,1,6239.169,0.003,6239.1690,0.0012,0.000,38000,,,,
Zn,1,6362.3458,0.0004,6362.3458,0.0004,0.0000,240000,4.7e+07,C,,
Zn,1,6479.184,0.003,6479.184,0.003, 0.000,55000,,,,
Zn,1,6928.316,0.013,6928.295,0.003,0.021,40000,,,,
Zn,1,6938.469,0.019,6938.449,0.004,0.020,20000,,,,
Zn,1,6943.199,0.013,6943.184,0.004,0.015,7000,,,,
