lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
3030.605,Cd,2.0,NIST,,50,3030.613+,,,-0.008
3080.8224,Cd,1.0,NIST,,150,3080.8220,,,0.0004
3081.484,Cd,2.0,NIST,,25,3081.483+,,,0.001
3082.5934,Cd,1.0,NIST,,30,3082.5924,,,0.001
3092.337,Cd,2.0,NIST,,100,3092.334+,,,0.003
3133.1666,Cd,1.0,NIST,,200,3133.1663,,,0.0003
3146.79,Cd,2.0,NIST,,50,3146.785+,,,0.005
3164.343,Cd,2.0,NIST,,1,3164.403+,,,-0.06
3179.961,Cd,2.0,NIST,,10,3179.958+,,,0.003
3232.26,Cd,2.0,NIST,,5,3232.257+,,,0.003
3238.742,Cd,2.0,NIST,,10,3238.729+,,,0.013
3250.324,Cd,2.0,NIST,,150,3250.293+,,,0.031
3252.524,Cd,1.0,NIST,,300,3252.5245,,,-0.0005
3261.0548,Cd,1.0,NIST,,300,3261.0546,,,0.0002
3283.565,Cd,2.0,NIST,,3,3283.561+,,,0.004
3343.209,Cd,2.0,NIST,,50,3343.197+,,,0.012
3385.486,Cd,2.0,NIST,,50,3385.482+,,,0.004
3388.884,Cd,2.0,NIST,,30,3388.889+,,,-0.005
3403.6521,Cd,1.0,NIST,,800,3403.6521,,,0.0
3417.491,Cd,2.0,NIST,,50,3417.488+,,,0.003
3422.228,Cd,2.0,NIST,,5,3422.231+,,,-0.003
3442.416,Cd,2.0,NIST,,50,3442.413+,,,0.003
3464.426,Cd,2.0,NIST,,100,3464.429+,,,-0.003
3466.1996,Cd,1.0,NIST,,1000,3466.1996,,,0.0
3467.6547,Cd,1.0,NIST,,800,3467.6544,,,0.0003
3483.079,Cd,2.0,NIST,,25,3483.082+,,,-0.003
3495.436,Cd,2.0,NIST,,150,3495.432+,,,0.004
3499.9518,Cd,1.0,NIST,,25,3499.9522,,,-0.0004
3524.112,Cd,2.0,NIST,,100,3524.110+,,,0.002
3535.6907,Cd,2.0,NIST,,100,3535.669+,,,0.022
3610.5077,Cd,1.0,NIST,,1000,3610.508,,,0.0
3612.8729,Cd,1.0,NIST,,800,3612.8724,,,0.0005
3614.4529,Cd,1.0,NIST,,60,3614.4529,,,0.0
3649.5584,Cd,1.0,NIST,,20,3649.5568,,,0.0016
3666.756,Cd,2.0,NIST,,20,3666.736+,,,0.02
3826.71,Cd,2.0,NIST,,15,3826.706+,,,0.004
3957.244,Cd,2.0,NIST,,15,3957.230+,,,0.014
3981.9257,Cd,1.0,NIST,,10,3981.9257,,,0.0
4006.867,Cd,2.0,NIST,,20,4006.862+,,,0.005
4029.124,Cd,2.0,NIST,,100,4029.119+,,,0.005
4134.768,Cd,2.0,NIST,,200,4134.764+,,,0.004
4140.2988,Cd,1.0,NIST,,,4140.3021,,,-0.0033
4141.493,Cd,2.0,NIST,,50,4141.490+,,,0.003
4285.078,Cd,2.0,NIST,,100,4285.08+,,,0.0
4306.6718,Cd,1.0,4MOST & NIST,19.59531021118164,8,4306.6718,,,0.0
4384.52,Cd,2.0,NIST,,5,4384.51+,,,0.01
4412.41,Cd,2.0,NIST,,100,4412.40+,,,0.01
4412.9894,Cd,1.0,4MOST & NIST,88.9344482421875,3,4412.9894,,,0.0
4415.6859,Cd,2.0,4MOST & NIST,38.119720458984375,1000,4415.65+,,,0.04
4440.45,Cd,2.0,NIST,,30*,4440.50+,,,-0.05
4440.45,Cd,2.0,NIST,,30*,4440.50+,,,-0.05
4662.352,Cd,1.0,4MOST & NIST,185.39276123046875,8,4662.3520,,,0.0
4678.1493,Cd,1.0,4MOST & NIST,20472.5625,200,4678.1500,,,-0.0007
4744.693,Cd,2.0,NIST,,30*,4744.76+,,,-0.06
