lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
3006.735,Cs,2.0,NIST,,250,3006.73264,0.003,0.00011,0.002
3012.033,Cs,2.0,NIST,,320,3012.03809,0.003,0.00011,-0.005
3020.3411,Cs,2.0,NIST,,920,3020.34093,0.0004,0.00011,0.0002
3020.8967,Cs,2.0,NIST,,2500,3020.89638,0.0006,0.00013,0.0003
3040.232,Cs,2.0,NIST,,2100,3040.23017,0.002,0.00011,0.0018
3060.9395,Cs,2.0,NIST,,900,3060.9395,0.0006,0.00013,0.0
3067.3013,Cs,2.0,NIST,,3900,3067.30042,0.0008,0.00012,0.0009
3078.03,Cs,2.0,NIST,,120bl,3078.03064,0.09,0.00012,0.0
3080.8564,Cs,2.0,NIST,,3300,3080.85761,0.0016,0.00016,-0.0012
3084.863,Cs,2.0,NIST,,1800,3084.86167,0.002,0.00015,0.0013
3092.2937,Cs,2.0,NIST,,9700,3092.29346,0.0007,0.00012,0.0002
3113.1438,Cs,2.0,NIST,,79,3113.14481,0.0016,0.00012,-0.001
3141.5356,Cs,2.0,NIST,,4600,3141.53506,0.0009,0.00013,0.0005
3151.1865,Cs,2.0,NIST,,29000,3151.18613,0.0008,0.00013,0.0004
3161.35,Cs,2.0,NIST,,54,3161.35104,0.002,0.00013,-0.001
3173.344,Cs,2.0,NIST,,1500,3173.34448,0.0014,0.00012,-0.0005
3201.198,Cs,2.0,NIST,,3200,3201.19869,0.002,0.00013,-0.0007
3207.507,Cs,1.0,NIST,,,3207.51864,0.005,3e-05,-0.012
3209.967,Cs,1.0,NIST,,,3209.98,0.005,0.003,-0.013
3212.831,Cs,1.0,NIST,,,3212.84326,0.005,3e-05,-0.012
3216.171,Cs,1.0,NIST,,,3216.184,0.005,0.003,-0.013
3219.186,Cs,2.0,NIST,,4000,3219.18338,0.004,0.00016,0.003
3220.116,Cs,1.0,NIST,,,3220.1318,0.005,0.0003,-0.016
3220.258,Cs,1.0,NIST,,,3220.27191,0.005,3e-05,-0.014
3224.817,Cs,1.0,NIST,,,3224.834,0.005,0.003,-0.017
3224.982,Cs,1.0,NIST,,,3225.001,0.005,0.003,-0.019
3230.477,Cs,1.0,NIST,,,3230.491,0.005,0.0003,-0.014
3230.68,Cs,1.0,NIST,,,3230.69404,0.005,3e-05,-0.014
3237.382,Cs,1.0,NIST,,,3237.39478,0.005,3e-05,-0.013
3237.63,Cs,1.0,NIST,,,3237.64381,0.005,3e-05,-0.014
3245.925,Cs,1.0,NIST,,,3245.9378,0.005,0.0003,-0.013
3246.236,Cs,1.0,NIST,,,3246.2482,0.005,3e-05,-0.012
3250.4657,Cs,2.0,NIST,,8300,3250.46515,0.0015,0.00017,0.0006
3256.672,Cs,1.0,NIST,,,3256.6879,0.005,0.0003,-0.016
3257.071,Cs,1.0,NIST,,,3257.08223,0.005,3e-05,-0.011
3265.9103,Cs,2.0,NIST,,52000,3265.91002,0.0006,0.00017,0.0003
3267.124,Cs,2.0,NIST,,65000,3267.12498,0.003,0.00017,-0.001
3270.474,Cs,1.0,NIST,,,3270.4856,0.005,0.0003,-0.012
