lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
3013.7,He,1.0,NIST,,40,3013.71,0.3,0.15,0.0
3187.745,He,1.0,NIST,,20*,3187.744395,,2e-05,0.001
3187.745,He,1.0,NIST,,20*,3187.74531,,2e-05,0.0
3231.266,He,1.0,NIST,,0,3231.270394,,2e-05,-0.004
3258.275,He,1.0,NIST,,1,3258.273506,,2e-05,0.001
3554.415,He,1.0,NIST,,1*,3554.415948,,2.1e-05,-0.001
3554.415,He,1.0,NIST,,1*,3554.4063,,2.1e-05,0.009
3554.415,He,1.0,NIST,,1*,3554.415799,,2.1e-05,-0.001
3554.415,He,1.0,NIST,,1*,3554.40614,,2.1e-05,0.009
3554.415,He,1.0,NIST,,1*,3554.406289,,2.1e-05,0.009
3562.979,He,1.0,NIST,,0*,3562.97878,,2.1e-05,0.0
3562.979,He,1.0,NIST,,0*,3562.969075,,2.1e-05,0.01
3587.27,He,1.0,NIST,,1*,3587.271843,,2.1e-05,-0.002
3587.27,He,1.0,NIST,,1*,3587.261797,,2.1e-05,0.008
3587.27,He,1.0,NIST,,1*,3587.262006,,2.1e-05,0.008
3587.27,He,1.0,NIST,,1*,3587.26202,,2.1e-05,0.008
3587.27,He,1.0,NIST,,1*,3587.271635,,2.1e-05,-0.002
3613.643,He,1.0,NIST,,3,3613.642093,,2.1e-05,0.001
3651.99,He,1.0,NIST,,1*,3651.991727,,2.1e-05,-0.002
3651.99,He,1.0,NIST,,1*,3651.981531,,2.1e-05,0.008
3705.005,He,1.0,NIST,,3*,3704.995274,,2.1e-05,0.01
3705.005,He,1.0,NIST,,3*,3704.995746,,2.1e-05,0.009
3705.005,He,1.0,NIST,,3*,3705.005768,,2.1e-05,-0.001
3705.005,He,1.0,NIST,,3*,3705.00624,,2.1e-05,-0.001
3705.005,He,1.0,NIST,,3*,3704.995779,,2.1e-05,0.009
3819.6074,He,1.0,4MOST & NIST,26.916955947875977,10*,3819.601975,0.0008,2.1e-05,0.0054
3833.554,He,1.0,NIST,,0,3833.548713,,2.1e-05,0.005
3871.791,He,1.0,NIST,,1,3871.786406,,2.1e-05,0.005
3888.648,He,1.0,4MOST & NIST,9475.4658203125,500*,3888.64559,,2.1e-05,0.002
3935.912,He,1.0,NIST,,0,3935.945223,,2.2e-05,-0.033
