lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
3004.385,Hg,2.0,NIST,,300h,3004.3863,0.004,0.0022,-0.001
3004.863,Hg,2.0,NIST,,100,3004.864,0.004,0.001,-0.001
3006.507,Hg,2.0,NIST,,2000,3006.5033,0.004,0.0011,0.004
3011.162,Hg,2.0,NIST,,300,3011.1621,0.004,0.0017,0.0
3021.504,Hg,1.0,NIST,,1200,3021.5041,0.001,0.001,-0.0001
3023.471,Hg,1.0,NIST,,300,3023.4748,0.002,0.0006,-0.0038
3025.606,Hg,1.0,NIST,,30,3025.615,0.006,0.0017,-0.009
3027.49,Hg,1.0,NIST,,60,3027.4888,0.002,0.0006,0.0012
3034.916,Hg,2.0,NIST,,2000,3034.9148,0.004,0.0015,0.001
3044.61,Hg,2.0,NIST,,25p,3044.6113,0.004,0.0012,-0.001
3045.161,Hg,2.0,NIST,,30w,3045.1583,0.004,0.0015,0.003
3045.161,Hg,2.0,NIST,,30w,3045.1585,0.004,0.0016,0.002
3048.503,Hg,2.0,NIST,,25,3048.494,0.004,0.0016,0.009
3055.765,Hg,2.0,NIST,,60,3055.7647,0.004,0.001,0.0
3064.529,Hg,2.0,NIST,,800,3064.528,0.004,0.003,0.001
3067.684,Hg,2.0,NIST,,480,3067.6895,0.004,0.0018,-0.006
3069.177,Hg,2.0,NIST,,40,,0.004,,
3070.478,Hg,2.0,NIST,,35,,0.004,,
3087.549,Hg,2.0,NIST,,1100c,,0.004,,
3102.668,Hg,2.0,NIST,,150,,0.004,,
3116.195,Hg,2.0,NIST,,15000,3116.1988,0.004,0.0006,-0.004
3125.674,Hg,1.0,NIST,,4000,3125.6732,0.001,0.0005,0.0008
3131.555,Hg,1.0,NIST,,3000,3131.5547,0.001,0.0006,0.0003
3131.844,Hg,1.0,NIST,,4000,3131.8443,0.001,0.0005,-0.0003
3139.679,Hg,2.0,NIST,,30,,0.004,,
3172.116,Hg,2.0,NIST,,40h,3172.1148,0.003,0.0025,0.001
3187.744,Hg,2.0,NIST,,70h,,0.004,,
3191.019,Hg,2.0,NIST,,7500,3191.0225,0.003,0.0009,-0.003
3191.591,Hg,2.0,NIST,,35,,0.003,,
3201.385,Hg,2.0,NIST,,2500,3201.3868,0.003,0.0008,-0.002
3207.709,Hg,2.0,NIST,,500,,0.003,,
3208.169,Hg,2.0,NIST,,120000,3208.1713,0.003,0.0015,-0.002
3227.813,Hg,2.0,NIST,,150h,,0.003,,
3252.076,Hg,2.0,NIST,,450,3252.0733,0.003,0.001,0.003
3252.916,Hg,2.0,NIST,,100,,0.003,,
3256.018,Hg,2.0,NIST,,80h,,0.003,,
3257.501,Hg,2.0,NIST,,900h,3257.4985,0.004,0.0018,0.002
3261.552,Hg,2.0,NIST,,3G,3261.5627,0.011,0.0014,-0.011
3264.039,Hg,2.0,NIST,,60000,3264.034,0.004,0.0014,0.005
3264.552,Hg,2.0,NIST,,100l,3264.5577,0.004,0.0013,-0.006
3277.846,Hg,2.0,NIST,,10000,3277.8451,0.004,0.0019,0.001
3278.104,Hg,2.0,NIST,,100h,3278.103,0.004,0.0015,0.001
3284.712,Hg,2.0,NIST,,10,3284.7019,0.004,0.0016,0.01
3289.366,Hg,2.0,NIST,,300h,3289.3623,0.004,0.0023,0.004
3317.279,Hg,2.0,NIST,,700,3317.2809,0.004,0.0025,-0.002
3330.001,Hg,2.0,NIST,,150c,3330.0002,0.004,0.0023,0.001
3335.226,Hg,2.0,NIST,,300,,0.004,,
3338.424,Hg,2.0,NIST,,2000c,3338.424,0.004,0.0018,0.0
3338.709,Hg,2.0,NIST,,30,,0.004,,
3338.964,Hg,2.0,NIST,,50,3338.964,0.004,0.003,0.0
3341.484,Hg,1.0,NIST,,700,3341.4834,0.001,0.0008,0.0006
3348.487,Hg,2.0,NIST,,80,,0.004,,
3362.671,Hg,2.0,NIST,,10,3362.6705,0.004,0.002,0.001
3362.71,Hg,1.0,NIST,,,3362.71,0.03,0.03,0.0
3368.15,Hg,1.0,NIST,,,3368.15,0.03,0.03,0.0
3371.73,Hg,1.0,NIST,,,3371.73,0.03,0.03,0.0
3373.333,Hg,2.0,NIST,,500,,0.004,,
3374.93,Hg,1.0,NIST,,,3374.93,0.03,0.03,0.0
3379.44,Hg,1.0,NIST,,,3379.427,0.03,0.023,0.01
3383.3,Hg,1.0,NIST,,,3383.293,0.03,0.023,0.01
3385.103,Hg,2.0,NIST,,2000c,3385.1067,0.004,0.0017,-0.004
3388.78,Hg,1.0,NIST,,,3388.821,0.03,0.023,-0.04
3393.71,Hg,1.0,NIST,,,3393.688,0.03,0.023,0.02
3400.68,Hg,1.0,NIST,,,3400.68,0.03,0.03,0.0
3401.389,Hg,2.0,NIST,,200,,0.004,,
3406.99,Hg,1.0,NIST,,,3406.988,0.03,0.023,0.0
3415.98,Hg,1.0,NIST,,,3415.976,0.03,0.023,0.0
3424.26,Hg,1.0,NIST,,,3424.307,0.03,0.023,-0.05
3424.789,Hg,2.0,NIST,,400,,0.004,,
3427.31,Hg,2.0,NIST,,100,,0.004,,
3429.584,Hg,2.0,NIST,,1000c,3429.5843,0.004,0.0013,0.0
3436.15,Hg,1.0,NIST,,,3436.15,0.03,0.04,0.0
3436.917,Hg,2.0,NIST,,400c,3436.9129,0.004,0.0024,0.004
3446.64,Hg,1.0,NIST,,,3446.656,0.03,0.024,-0.02
3447.27,Hg,1.0,NIST,,,3447.262,0.03,0.02,0.01
3451.689,Hg,2.0,NIST,,30000,3451.6871,0.004,0.0017,0.002
3459.164,Hg,2.0,NIST,,350G,3459.1703,0.012,0.0011,-0.006
3463.52,Hg,1.0,NIST,,,3463.505,0.03,0.024,0.01
3478.04,Hg,1.0,NIST,,,3478.035,0.03,0.023,0.0
3478.91,Hg,1.0,NIST,,,3478.899,0.03,0.023,0.01
3484.872,Hg,2.0,NIST,,400s,3484.8719,0.004,0.0023,0.0
