lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
3000.109,Ar,2.0,NIST,,3,3000.10929,0.003,6e-05,0.0
3000.4451,Ar,2.0,NIST,,17,3000.44527,0.0005,0.00018,-0.0002
3002.964,Ar,2.0,NIST,,4,3002.96447,0.003,0.00014,0.0
3004.385,Hg,2.0,NIST,,300h,3004.3863,0.004,0.0022,-0.001
3004.486,Ar,2.0,NIST,,2,3004.48994,0.006,0.00015,-0.004
3004.863,Hg,2.0,NIST,,100,3004.864,0.004,0.001,-0.001
3006.507,Hg,2.0,NIST,,2000,3006.5033,0.004,0.0011,0.004
3011.162,Hg,2.0,NIST,,300,3011.1621,0.004,0.0017,0.0
3014.4819,Ar,2.0,NIST,,7,3014.48204,0.001,6e-05,-0.0001
3021.504,Hg,1.0,NIST,,1200,3021.5041,0.001,0.001,-0.0001
3023.471,Hg,1.0,NIST,,300,3023.4748,0.002,0.0006,-0.0038
3025.606,Hg,1.0,NIST,,30,3025.615,0.006,0.0017,-0.009
3026.7455,Ar,2.0,NIST,,35,3026.7455,0.0002,0.00013,0.0
3027.49,Hg,1.0,NIST,,60,3027.4888,0.002,0.0006,0.0012
3028.721,Ar,2.0,NIST,,3,3028.72055,0.006,0.00018,0.0
3028.914,Ar,2.0,NIST,,47*,3028.91399,0.0002,0.00018,0.0
3028.914,Ar,2.0,NIST,,47*,3028.91004,0.0002,7e-05,0.00396
3033.5082,Ar,2.0,NIST,,78,3033.50811,0.0001,3e-05,9e-05
3034.916,Hg,2.0,NIST,,2000,3034.9148,0.004,0.0015,0.001
3036.887,Ar,2.0,NIST,,2bl?,3036.89238,0.012,7e-05,-0.005
3042.463,Ar,2.0,NIST,,1,3042.46739,0.006,0.00011,-0.004
3044.61,Hg,2.0,NIST,,25p,3044.6113,0.004,0.0012,-0.001
3045.161,Hg,2.0,NIST,,30w,3045.1583,0.004,0.0015,0.003
3045.161,Hg,2.0,NIST,,30w,3045.1585,0.004,0.0016,0.002
3046.0787,Ar,2.0,NIST,,6,3046.07913,0.0008,5e-05,-0.0004
3047.053,Ar,2.0,NIST,,0.5,3047.05269,0.006,4e-05,0.0
3048.021,Ar,2.0,NIST,,2,3048.02474,0.006,6e-05,-0.004
3048.503,Hg,2.0,NIST,,25,3048.494,0.004,0.0016,0.009
3048.784,Ar,2.0,NIST,,2,3048.78841,0.006,6e-05,-0.004
3050.043,Ar,2.0,NIST,,1,3050.04111,0.006,0.0001,0.002
3053.151,Ar,2.0,NIST,,5,3053.15013,0.006,0.0001,0.001
3055.281,Ar,2.0,NIST,,0.5,3055.27974,0.006,0.0001,0.001
3055.765,Hg,2.0,NIST,,60,3055.7647,0.004,0.001,0.0
3060.9059,Ar,2.0,NIST,,7,3060.90557,0.001,9e-05,0.0003
3062.643,Ar,2.0,NIST,,3,3062.643,0.006,9e-05,0.0
3064.529,Hg,2.0,NIST,,800,3064.528,0.004,0.003,0.001
3065.12,Ar,2.0,NIST,,3wbl,3065.13328,0.012,9e-05,-0.013
3065.4,Ar,2.0,NIST,,0.5,3065.41182,0.006,4e-05,-0.012
3066.889,Ar,2.0,NIST,,6,3066.88823,0.006,3e-05,0.001
3067.684,Hg,2.0,NIST,,480,3067.6895,0.004,0.0018,-0.006
3069.177,Hg,2.0,NIST,,40,,0.004,,
3070.478,Hg,2.0,NIST,,35,,0.004,,
3071.66,Ar,2.0,NIST,,0.5,3071.66501,0.02,3e-05,-0.005
3082.9777,Ar,2.0,NIST,,10,3082.9776,0.0007,0.00014,0.0001
3083.193,Ar,2.0,NIST,,1,3083.19881,0.006,8e-05,-0.006
3085.0273,Ar,2.0,NIST,,19,3085.02675,0.0003,0.00019,0.0006
3087.549,Hg,2.0,NIST,,1100c,,0.004,,
3088.2151,Ar,2.0,NIST,,8,3088.2132,0.0016,0.0011,0.0019
3088.91,Ar,2.0,NIST,,3,3088.91368,0.006,0.00016,-0.004
3093.4018,Ar,2.0,NIST,,68,3093.40173,0.0001,6e-05,7e-05
3094.9654,Ar,2.0,NIST,,8,3094.96469,0.0007,0.00019,0.0007
3099.925,Ar,2.0,NIST,,4,3099.92564,0.003,0.00016,-0.001
