lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
3003.98,Xe,2.0,NIST,,40,3003.973+,,,0.01
3005.97,Xe,2.0,NIST,,1-,3005.858+,,,0.11
3006.97,Xe,2.0,NIST,,2,3006.982+,,,-0.01
3009.03,Xe,2.0,NIST,,0bl,3009.135+,,,-0.1
3013.82,Xe,2.0,NIST,,2h^,3013.824+,,,0.0
3015.52,Xe,2.0,NIST,,20h,3015.624+,,,-0.1
3017.43,Xe,2.0,NIST,,100h,3017.472+,,,-0.04
3019.78,Xe,2.0,NIST,,2h,3019.770+,,,0.01
3022.1,Xe,2.0,NIST,,2H,3022.18+,,,-0.08
3027.27,Xe,2.0,NIST,,3,3027.288+,,,-0.02
3027.63,Xe,2.0,NIST,,2h,3027.613+,,,0.02
3033.71,Xe,2.0,NIST,,10,3033.710+,,,0.0
3036.8,Xe,2.0,NIST,,30h,3036.869+,,,-0.07
3037.35,Xe,2.0,NIST,,,3037.323+,,,0.03
3044.75,Xe,2.0,NIST,,10,3044.764+,,,-0.01
3045.25,Xe,2.0,NIST,,30,3045.271+,,,-0.02
3046.27,Xe,2.0,NIST,,25,3046.220+,,,0.05
3047.56,Xe,2.0,NIST,,0,3047.529+,,,0.03
3047.76,Xe,2.0,NIST,,8H,3047.67+,,,0.09
3047.83,Xe,2.0,NIST,,0,3047.838+,,,-0.01
3048.17,Xe,2.0,NIST,,5,3048.13+,,,0.04
3048.5,Xe,2.0,NIST,,3h^,3048.528+,,,-0.03
3050.98,Xe,2.0,NIST,,3,3050.998+,,,-0.02
3055.5,Xe,2.0,NIST,,1,3055.478+,,,0.02
3056.49,Xe,2.0,NIST,,20,3056.526+,,,-0.04
3061.54,Xe,2.0,NIST,,12,3061.562+,,,-0.02
3063.72,Xe,2.0,NIST,,0,3063.789+,,,-0.07
3066.6,Xe,2.0,NIST,,1h,3066.580+,,,0.02
3067.3,Xe,2.0,NIST,,30*,3067.277+,,,0.02
3067.3,Xe,2.0,NIST,,30*,3067.314+,,,-0.01
3073.17,Xe,2.0,NIST,,2h,3073.187+,,,-0.02
3082.62,Xe,2.0,NIST,,20,3082.613+,,,0.01
3082.87,Xe,2.0,NIST,,2,3082.861+,,,0.01
3085.12,Xe,2.0,NIST,,1-*,3085.181+,,,-0.06
3085.12,Xe,2.0,NIST,,1-*,3085.115+,,,0.0
3087.34,Xe,2.0,NIST,,1-,3087.356+,,,-0.02
3090.47,Xe,2.0,NIST,,1,3090.485+,,,-0.01
3092.41,Xe,2.0,NIST,,15,3092.414+,,,0.0
3094.53,Xe,2.0,NIST,,30h,3094.551+,,,-0.02
3096.9,Xe,2.0,NIST,,8,3096.882+,,,0.02
3098.21,Xe,2.0,NIST,,2,3098.199+,,,0.01
3098.5,Xe,2.0,NIST,,1,3098.507+,,,-0.01
3101.51,Xe,2.0,NIST,,50h,3101.600+,,,-0.09
3104.4,Xe,2.0,NIST,,70h,3104.428+,,,-0.03
3106.54,Xe,2.0,NIST,,0bl,3106.496+,,,0.04
3107.82,Xe,2.0,NIST,,20Hl,3107.996+,,,-0.18
3112.74,Xe,2.0,NIST,,20,3112.740+,,,0.0
3116.78,Xe,2.0,NIST,,2h,3116.765+,,,0.02
3121.87,Xe,2.0,NIST,,250,3121.879+,,,-0.01
3124.02,Xe,2.0,NIST,,12h,3124.078+,,,-0.06
3128.4,Xe,2.0,NIST,,1H*,3128.309+,,,0.09
3128.4,Xe,2.0,NIST,,1H*,3128.467+,,,-0.07
3130.4,Xe,2.0,NIST,,3H,3130.567+,,,-0.17
3142.54,Xe,2.0,NIST,,0,3142.552+,,,-0.01
3143.62,Xe,2.0,NIST,,6,3143.660+,,,-0.04
3145.02,Xe,2.0,NIST,,4h,3145.037+,,,-0.02
3148.99,Xe,2.0,NIST,,5,3148.988+,,,0.0
3150.97,Xe,2.0,NIST,,3,3151.016+,,,-0.05
3159.75,Xe,2.0,NIST,,4h,3159.771+,,,-0.02
3162.93,Xe,2.0,NIST,,25,3162.949+,,,-0.02
3164.23,Xe,2.0,NIST,,6,3164.246+,,,-0.02
3165.27,Xe,2.0,NIST,,6,3165.277+,,,-0.01
3168.67,Xe,2.0,NIST,,3h,3168.672+,,,0.0
3174.59,Xe,2.0,NIST,,1,3174.574+,,,0.02
3175.64,Xe,2.0,NIST,,80,3175.645+,,,0.0
3181.39,Xe,2.0,NIST,,3h,3181.386+,,,0.0
3184.35,Xe,2.0,NIST,,10h,3184.467+,,,-0.12
3193.75,Xe,2.0,NIST,,1h,3193.751+,,,0.0
3194.85,Xe,2.0,NIST,,0*,3194.90+,,,-0.05
3194.85,Xe,2.0,NIST,,0*,3194.966+,,,-0.12
3196.22,Xe,2.0,NIST,,25,3196.203+,,,0.02
3201.68,Xe,2.0,NIST,,3h,3201.711+,,,-0.03
3202.04,Xe,2.0,NIST,,10,3202.046+,,,-0.01
3206.72,Xe,2.0,NIST,,1-^,3206.741+,,,-0.02
3211.59,Xe,2.0,NIST,,1H,3211.590+,,,0.0
3212.29,Xe,2.0,NIST,,5h,3212.285+,,,0.01
3225.08,Xe,2.0,NIST,,15,3225.084+,,,0.0
3233.23,Xe,2.0,NIST,,1,3233.232+,,,0.0
3247.74,Xe,2.0,NIST,,6Hl,3247.790+,,,-0.05
3248.83,Xe,2.0,NIST,,1-^,3248.776+,,,0.05
3249.35,Xe,2.0,NIST,,1-^,3249.371+,,,-0.02
3250.04,Xe,2.0,NIST,,2h,3250.090+,,,-0.05
3250.56,Xe,2.0,NIST,,25,3250.567+,,,-0.01
3259.36,Xe,2.0,NIST,,12,3259.353+,,,0.01
3260.73,Xe,2.0,NIST,,2,3260.748+,,,-0.02
3262.02,Xe,2.0,NIST,,4h,3262.038+,,,-0.02
3264.03,Xe,2.0,NIST,,0,3264.067+,,,-0.04
3267.34,Xe,2.0,NIST,,3h,3267.335+,,,0.0
3268.08,Xe,2.0,NIST,,1h^,3268.104+,,,-0.02
3272.91,Xe,2.0,NIST,,60,3272.936+,,,-0.03
3274.8,Xe,2.0,NIST,,2H^,3274.797+,,,0.0
3281.26,Xe,2.0,NIST,,12h*,3281.265+,,,-0.01
3281.26,Xe,2.0,NIST,,12h*,3281.311+,,,-0.05
3296.2,Xe,2.0,NIST,,1h,3296.172+,,,0.03
3298.72,Xe,2.0,NIST,,6,3298.730+,,,-0.01
3310.85,Xe,2.0,NIST,,1h,3310.863+,,,-0.01
3311.8,Xe,2.0,NIST,,2,3311.823+,,,-0.02
3313.48,Xe,2.0,NIST,,2h,3313.515+,,,-0.03
3316.39,Xe,2.0,NIST,,6h,3316.371+,,,0.02
3320.57,Xe,2.0,NIST,,1h,3320.619+,,,-0.05
3327.46,Xe,2.0,NIST,,15,3327.483+,,,-0.02
3338.8,Xe,2.0,NIST,,4h,3338.821+,,,-0.02
3339.49,Xe,2.0,NIST,,3,3339.575+,,,-0.09
3340.04,Xe,1.0,NIST,,1-,3340.04+,0.01,,0.0
3347.27,Xe,2.0,NIST,,3H,3347.292+,,,-0.02
3348.63,Xe,1.0,NIST,,1-,3348.676+,0.01,,-0.046
3353.44,Xe,2.0,NIST,,1h^,3353.419+,,,0.02
3358.17,Xe,1.0,NIST,,1h-,3358.167+,0.01,,0.003
3358.96,Xe,1.0,NIST,,1h-,3358.957+,0.01,,0.003
3366.72,Xe,2.0,NIST,,300h,3366.747+,,,-0.03
3370.34,Xe,1.0,NIST,,1h,3370.355+,0.01,,-0.015
3373.92,Xe,2.0,NIST,,2h,3373.914+,,,0.01
3375.16,Xe,2.0,NIST,,3h,3375.192+,,,-0.03
3381.34,Xe,2.0,NIST,,1h^,3381.334+,,,0.01
3383.2,Xe,1.0,NIST,,1,3383.197+,0.01,,0.003
3384.13,Xe,2.0,NIST,,40h,3384.150+,,,-0.02
3384.36,Xe,1.0,NIST,,1,3384.358+,0.01,,0.002
3386.3,Xe,2.0,NIST,,2h,3386.281+,,,0.02
3388.05,Xe,2.0,NIST,,2,3388.087+,,,-0.04
3395.5,Xe,2.0,NIST,,3,3395.519+,,,-0.02
3399.37,Xe,2.0,NIST,,1,3399.380+,,,-0.01
3400.07,Xe,1.0,NIST,,2,3400.132+,0.01,,-0.062
3400.79,Xe,1.0,NIST,,1-,3400.879+,0.01,,-0.089
