lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
3018.3559,Zn,1.0,NIST,,91000.0,3018.3559,0.0007,0.0003,0.0
3035.7788,Zn,1.0,NIST,,150000.0,3035.77901,0.0004,0.00022,-0.0002
3072.0627,Zn,1.0,NIST,,180000.0,3072.06283,0.0004,0.00023,-0.0001
3075.89713,Zn,1.0,NIST,,88000.0,3075.89703,0.00021,0.00019,0.0001
3171.45,Zn,2.0,NIST,,100.0,3171.451+,,,0.0
3172.23,Zn,2.0,NIST,,100.0,3172.20+,,,0.03
3196.311,Zn,2.0,NIST,,300.0,3196.31+,,,0.0
3197.1,Zn,2.0,NIST,,100.0,3197.11+,,,-0.01
3282.32559,Zn,1.0,NIST,,360000.0,3282.32554,0.00022,0.00015,5e-05
3299.417,Zn,2.0,NIST,,50.0,3299.42+,,,0.0
3302.58289,Zn,1.0,NIST,,1400000.0,3302.58290,0.00022,0.00016,-1e-05
3302.93949,Zn,1.0,NIST,,550000.0,3302.93951,0.00022,0.00014,-2e-05
3306.01,Zn,2.0,NIST,,75.0,3306.01+,,,0.0
3345.01339,Zn,1.0,NIST,,2900000.0,3345.01340,0.00022,0.00021,-1e-05
3345.56939,Zn,1.0,NIST,,530000.0,3345.56938,0.00022,0.00017,1e-05
3345.9353,Zn,1.0,NIST,,75000.0,3345.93534,0.0003,0.00016,0.0
3799.0,Zn,1.0,NIST,,20000.0,3799.00,0.03,0.03,0.0
3806.344,Zn,2.0,NIST,,50.0,3806.31+,,,0.03
3840.29,Zn,2.0,NIST,,100.0,3840.29+,,,0.0
3883.34,Zn,1.0,NIST,,21000.0,,0.03,,
3965.43,Zn,1.0,NIST,,78000.0,3965.43,0.03,0.03,0.0
4046.488525390625,Zn,,4MOST,17.57779884338379,,,,,
4078.14,Zn,2.0,NIST,,40.0,4078.13+,,,0.01
4113.21,Zn,1.0,NIST,,81000.0,4113.1114,0.13,0.0017,0.1
4119.39,Zn,2.0,NIST,,40.0,4119.39+,,,0.0
4158.66357421875,Zn,,4MOST,28.256065368652344,,,,,
4190.82080078125,Zn,,4MOST,12.80085563659668,,,,,
4198.55224609375,Zn,,4MOST,11.239087104797363,,,,,
4200.69091796875,Zn,,4MOST,38.744754791259766,,,,,
4259.22705078125,Zn,,4MOST,14.042529106140137,,,,,
4266.244140625,Zn,,4MOST,11.872326850891112,,,,,
