peaks,gaussian peaks,lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
623.0,622.5164184570312,3876.1486,Cs,1.0,4MOST & NIST,211.2998504638672,2100.0,3876.147,0.0008,0.005,0.002
663.0,662.234130859375,3888.611413,Cs,1.0,4MOST & NIST,50.621578216552734,600.0,3888.611413,2.2e-05,2.2e-05,0.0
1159.0,1159.7532958984375,4044.3974609375,Cs,,4MOST,11.269248962402344,,,,,
1526.0,1525.648193359375,4158.68115234375,Cs,,4MOST,27.429975509643555,,,,,
1628.0,1628.7921142578125,4190.83837890625,Cs,,4MOST,11.093218803405762,,,,,
1653.0,1653.7783203125,4198.6240234375,Cs,,4MOST,11.111170768737791,,,,,
1660.0,1660.51318359375,4200.72265625,Cs,,4MOST,35.60569381713867,,,,,
1849.0,1848.925048828125,4259.3720703125,Cs,,4MOST,11.350614547729492,,,,,
1870.0,1870.7264404296875,4266.15185546875,Cs,,4MOST,10.046401977539062,,,,,
1889.0,1889.48193359375,4271.7359,Cs,2.0,4MOST & NIST,13.98905086517334,3400.0,4271.73587,0.0015,0.00022,0.0
1979.0,1978.8388671875,4299.75,Cs,,4MOST,11.929244995117188,,,,,
2088.0,2087.44482421875,4333.46240234375,Cs,,4MOST,11.07090663909912,,,,,
2662.0,2660.890380859375,4510.708984375,Cs,,4MOST,11.237680435180664,,,,,
2806.0,2805.97802734375,4555.2799,Cs,1.0,4MOST & NIST,4961.267578125,,4555.28,0.0005,0.005,0.0
2930.0,2929.875732421875,4593.1721,Cs,1.0,4MOST & NIST,2999.885009765625,,4593.172,0.0005,0.004,0.0
3860.0,3860.974365234375,4876.22607421875,Cs,,4MOST,12.493332862854004,,,,,
4005.0,4007.47705078125,4920.2509765625,Cs,,4MOST,12.77748680114746,,,,,
4054.0,4052.927734375,4933.880859375,Cs,,4MOST,15.049346923828123,,,,,
4276.0,4276.51318359375,5000.72998046875,Cs,,4MOST,13.902213096618652,,,,,
4331.0,4329.7841796875,5016.607421875,Cs,,4MOST,15.310612678527832,,,,,
4476.0,4476.1552734375,5059.8686,Cs,2.0,4MOST & NIST,17.515199661254883,280000.0,5059.869,0.0007,0.0003,-0.0004
4518.0,4515.99462890625,5071.95458984375,Cs,,4MOST,16.486963272094727,,,,,
4587.0,4588.642578125,5093.48193359375,Cs,,4MOST,20.864925384521484,,,,,
4673.0,4677.27197265625,5119.693359375,Cs,,4MOST,28.59193229675293,,,,,
4788.0,4788.35400390625,5152.6813,Cs,1.0,4MOST & NIST,40.11085510253906,,5152.68344,0.0005,0.00014,-0.0021
4871.0,4872.1318359375,5177.11962890625,Cs,,4MOST,20.434619903564453,,,,,
4908.0,4909.9794921875,5188.24072265625,Cs,,4MOST,17.00802230834961,,,,,
4938.0,4938.50341796875,5196.7343,Cs,1.0,4MOST & NIST,67.77679443359375,,5196.73753,0.0005,0.00014,-0.0032
5022.0,5020.5234375,5220.658203125,Cs,,4MOST,17.754257202148438,,,,,
5050.0,5049.8759765625,5229.25,Cs,,4MOST,22.789857864379883,,,,,
5090.0,5089.4052734375,5240.80908203125,Cs,,4MOST,22.067529678344727,,,,,
5144.0,5143.404296875,5256.5942,Cs,2.0,4MOST & NIST,115.7936782836914,4900.0,5256.5958,0.0012,0.0004,-0.0016
5184.0,5183.89892578125,5268.3896484375,Cs,,4MOST,32.868202209472656,,,,,
5252.0,5252.26318359375,5288.29638671875,Cs,,4MOST,13.343111038208008,,,,,
5305.0,5304.34326171875,5303.43408203125,Cs,,4MOST,52.76364135742188,,,,,
5397.0,5395.986328125,5330.01318359375,Cs,,4MOST,13.389527320861816,,,,,
5434.0,5434.0,5340.9418,Cs,1.0,4MOST & NIST,142.42259216308594,,5340.94508,0.0005,0.00015,-0.0033
5467.0,5466.42626953125,5349.1315,Cs,2.0,4MOST & NIST,60.70568084716797,1000000.0,5349.1319,0.0005,0.0004,-0.0004
5588.0,5588.00390625,5385.4453125,Cs,,4MOST,11.631678581237791,,,,,
5686.0,5685.36279296875,5413.6145,Cs,1.0,4MOST & NIST,17.69772720336914,,5413.62102,0.0005,6e-05,-0.0065
