peaks,gaussian peaks,lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
327.0,326.622802734375,5340.9418,Cs,1.0,4MOST & NIST,128.37901306152344,,5340.94508,0.0005,0.00015,-0.0033
356.0,354.4944152832031,5349.13,Cs,2.0,4MOST & NIST,62.21862411499024,1000000,5349.1319,0.0005,0.0004,-0.0004
458.0,458.0083923339844,5385.06689453125,Cs,,4MOST,21.211530685424805,,,,,
522.0,521.9409790039062,5406.6672,Cs,1.0,4MOST & NIST,58.584102630615234,,5406.66919,0.0005,6e-05,-0.002
542.0,542.08837890625,5413.6145,Cs,1.0,4MOST & NIST,241.27720642089844,,5413.62102,0.0005,6e-05,-0.0065
640.0,639.53955078125,5446.31201171875,Cs,,4MOST,11.878232955932615,,,,,
655.0,655.1552734375,5451.5791015625,Cs,,4MOST,14.13520622253418,,,,,
687.0,686.7877197265625,5462.248046875,Cs,,4MOST,66.00558471679688,,,,,
697.0,697.2347412109375,5465.9443,Cs,1.0,4MOST & NIST,813.0433349609375,bl,5465.94378,0.0005,0.00015,0.0005
787.0,786.7384643554688,5495.9482421875,Cs,,4MOST,25.48713493347168,,,,,
807.0,806.9066162109375,5502.8843,Cs,1.0,4MOST & NIST,598.199462890625,,5502.88485,0.0005,7e-05,-0.0006
843.0,843.0314331054688,5514.9208984375,Cs,,4MOST,16.388534545898438,,,,,
903.0,903.0383911132812,5535.1376953125,Cs,,4MOST,17.807477951049805,,,,,
974.0,973.3966064453124,5558.8310546875,Cs,,4MOST,19.325214385986328,,,,,
1002.0,1002.3698120117188,5568.4078,Cs,1.0,4MOST & NIST,162.8435821533203,,5568.41012,0.0005,7e-05,-0.0023
1018.0,1018.010986328125,5573.674,Cs,1.0,4MOST & NIST,129.71983337402344,,5573.67718,0.0005,7e-05,-0.0032
1100.0,1099.4034423828125,5601.2314453125,Cs,,4MOST,13.717639923095703,,,,,
1116.0,1116.497802734375,5606.97998046875,Cs,,4MOST,20.069652557373047,,,,,
1140.0,1138.2694091796875,5614.2998046875,Cs,,4MOST,14.16486644744873,,,,,
1200.0,1200.640380859375,5635.2123,Cs,1.0,4MOST & NIST,1384.875732421875,,5635.21336,0.0005,7e-05,-0.0011
1248.0,1248.8621826171875,5651.45947265625,Cs,,4MOST,19.48112869262696,,,,,
1287.0,1286.4891357421875,5664.0183,Cs,1.0,4MOST & NIST,1939.8853759765625,bl,5664.01769,0.0005,0.00016,0.0006
1396.0,1394.3387451171875,5700.27587890625,Cs,,4MOST,15.10793685913086,,,,,
