peaks,gaussian peaks,lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
443.0,443.2731018066406,3819.6074,He,1.0,4MOST & NIST,26.916955947875977,10*,3819.601975,0.0008,2.1e-05,0.0054
663.0,662.2264404296875,3888.648,He,1.0,4MOST & NIST,9475.4658203125,500*,3888.64559,,2.1e-05,0.002
906.0,905.166748046875,3964.7291,He,1.0,4MOST & NIST,245.86181640625,20,3964.728829,,2.2e-05,0.0003
1101.0,1101.0267333984375,4026.1914,He,1.0,4MOST & NIST,802.3753051757812,50*,4026.184368,,2e-05,0.007
1267.0,1266.382568359375,4077.734130859375,He,,4MOST,104.42721557617188,,,,,
1405.0,1404.6041259765625,4120.8154,He,1.0,4MOST & NIST,99.87506103515624,12*,4120.823747,0.0012,2.1e-05,-0.0083
1478.0,1477.8568115234375,4143.761,He,1.0,4MOST & NIST,37.64706039428711,3,4143.759059,,2.1e-05,0.002
1660.0,1659.953857421875,4200.54833984375,He,,4MOST,10.487141609191896,,,,,
1708.0,1708.3184814453125,4215.61328125,He,,4MOST,107.40522003173828,,,,,
2079.0,2080.497314453125,4331.30712890625,He,,4MOST,12.76391887664795,,,,,
2134.0,2133.92919921875,4347.87939453125,He,,4MOST,38.858543395996094,,,,,
2209.0,2209.5322265625,4371.31005859375,He,,4MOST,11.242502212524414,,,,,
2236.0,2236.3544921875,4379.6171875,He,,4MOST,12.839289665222168,,,,,
2263.0,2263.10107421875,4387.9296,He,1.0,4MOST & NIST,300.5487365722656,10,4387.929143,0.0006,2.2e-05,0.0005
2304.0,2304.16748046875,4400.6083984375,He,,4MOST,19.989017486572266,,,,,
2386.0,2385.917724609375,4425.888671875,He,,4MOST,21.35418128967285,,,,,
2400.0,2400.569580078125,4430.41650390625,He,,4MOST,16.2806396484375,,,,,
2424.0,2423.8916015625,4437.551,He,1.0,4MOST & NIST,27.352033615112305,3,4437.553428,,2.2e-05,-0.002
2533.0,2533.56884765625,4471.4802,He,1.0,4MOST & NIST,14018.8974609375,200*,4471.474317,0.0015,2.2e-05,0.0059
2802.0,2801.677001953125,4554.00048828125,He,,4MOST,106.98302459716795,,,,,
2976.0,2975.593017578125,4607.3408203125,He,,4MOST,51.000579833984375,,,,,
3323.0,3322.09130859375,4713.1457,He,1.0,4MOST & NIST,1514.8988037109375,30*,4713.156155,0.0006,2.4e-05,-0.0105
3397.0,3397.018798828125,4735.90771484375,He,,4MOST,31.83359909057617,,,,,
3492.0,3491.70654296875,4764.65283203125,He,,4MOST,10.180671691894531,,,,,
3628.0,3628.0361328125,4805.943359375,He,,4MOST,54.64596939086914,,,,,
3767.0,3766.778564453125,4847.8466796875,He,,4MOST,23.87110710144043,,,,,
3874.0,3873.57861328125,4880.01953125,He,,4MOST,16.74856185913086,,,,,
4014.0,4013.332275390625,4921.9313,He,1.0,4MOST & NIST,3709.391357421875,20,4921.931036,0.0005,2.5e-05,0.0003
4053.0,4052.885498046875,4933.8681640625,He,,4MOST,79.98863983154297,,,,,
4158.0,4156.7841796875,4964.97412109375,He,,4MOST,10.386307716369627,,,,,
4306.0,4305.68798828125,5009.42822265625,He,,4MOST,18.2205867767334,,,,,
4327.0,4326.8125,5015.6783,He,1.0,4MOST & NIST,13359.72265625,100,5015.67801,0.0003,3e-05,0.0003
4434.0,4434.162109375,5047.738,He,1.0,4MOST & NIST,288.8939819335937,10,5047.73857,,3e-05,-0.001
4483.0,4482.50537109375,5062.0185546875,He,,4MOST,15.651450157165527,,,,,
4767.0,4764.7685546875,5145.51416015625,He,,4MOST,10.082317352294922,,,,,
5299.0,5298.82568359375,5301.83154296875,He,,4MOST,10.929384231567385,,,,,
