peaks,gaussian peaks,lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
94.0,98.2913589477539,5263.751059178241,He,,4MOST,17.90567970275879,,,,,
105.0,107.53421783447266,5266.865187458806,He,,4MOST,27.587860107421875,,,,,
119.0,121.49801635742188,5271.570380171647,He,,4MOST,28.87442779541016,,,,,
285.0,285.4856872558594,5326.8609263095295,He,,4MOST,57.78614807128906,,,,,
446.0,447.2538146972656,5381.43804193174,He,,4MOST,12.59477710723877,,,,,
511.0,512.6488647460938,5403.50318140062,He,,4MOST,10.947151184082031,,,,,
534.0,533.1713256835938,5410.427485682992,He,,4MOST,14.91353988647461,,,,,
543.0,541.165283203125,5413.124602909136,He,,4MOST,15.845269203186035,,,,,
549.0,549.2285766601562,5415.845077996313,He,,4MOST,18.56666755676269,,,,,
564.0,563.7675170898438,5420.750271071794,He,,4MOST,13.632917404174805,,,,,
573.0,574.3710327148438,5424.327627359901,He,,4MOST,12.800209045410156,,,,,
614.0,614.4453125,5437.846845426502,He,,4MOST,15.135978698730469,,,,,
623.0,623.9899291992188,5441.066540084999,He,,4MOST,15.490815162658691,,,,,
630.0,631.2830810546875,5443.526682306923,He,,4MOST,19.801544189453125,,,,,
653.0,653.98486328125,5451.184120076932,He,,4MOST,15.108285903930664,,,,,
718.0,718.1891479492188,5472.837013663412,He,,4MOST,18.094951629638672,,,,,
727.0,726.5512084960938,5475.656679819535,He,,4MOST,20.126361846923828,,,,,
735.0,734.2747192382812,5478.260930350188,He,,4MOST,21.60748291015625,,,,,
756.0,755.9653930664062,5485.574172129199,He,,4MOST,18.753263473510746,,,,,
788.0,786.4828491210938,5495.862072617464,He,,4MOST,16.71173095703125,,,,,
810.0,810.2176513671875,5503.862241480274,He,,4MOST,18.04607009887696,,,,,
828.0,825.6017456054688,5509.047089351505,He,,4MOST,22.6059513092041,,,,,
837.0,838.0852661132812,5513.254012425054,He,,4MOST,22.98520469665528,,,,,
845.0,842.01708984375,5514.57896241754,He,,4MOST,22.07179832458496,,,,,
851.0,846.2412109375,5516.002374667633,He,,4MOST,18.54229164123535,,,,,
860.0,860.4332275390625,5520.78441232576,He,,4MOST,17.637968063354492,,,,,
873.0,873.1334838867188,5525.063423657822,He,,4MOST,16.892362594604492,,,,,
904.0,903.86083984375,5535.41467061117,He,,4MOST,43.63317108154297,,,,,
928.0,927.851806640625,5543.495055908108,He,,4MOST,17.962995529174805,,,,,
950.0,947.8463134765624,5550.2283163307775,He,,4MOST,21.44871711730957,,,,,
958.0,956.8372802734376,5553.255745469862,He,,4MOST,22.97197151184082,,,,,
964.0,962.6971435546876,5555.228761066638,He,,4MOST,18.85327339172364,,,,,
973.0,974.4525756835938,5559.186545483749,He,,4MOST,17.81264305114746,,,,,
1014.0,1012.80859375,5572.097577731261,He,,4MOST,18.27752685546875,,,,,
1041.0,1040.2440185546875,5581.330140726825,He,,4MOST,21.018718719482425,,,,,
1061.0,1060.4283447265625,5588.121196227329,He,,4MOST,25.35795021057129,,,,,
1089.0,1089.5889892578125,5597.930241688349,He,,4MOST,19.41022300720215,,,,,
