peaks,gaussian peaks,lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
11.0,10.591781616210938,3683.07275390625,Hg,,4MOST,32.567081451416016,,,,,
28.0,32.20683670043945,3689.921875,Hg,,4MOST,10.610716819763184,,,,,
69.0,69.55300903320312,3701.748291015625,Hg,,4MOST,10.80369758605957,,,,,
79.0,78.45796966552734,3704.56689453125,Hg,,4MOST,10.556877136230469,,,,,
345.0,347.62890625,3790.0,Hg,1.0,4MOST & NIST,23.54104423522949,80,3790.01,0.04,0.03,-0.01
400.0,399.7727661132813,3805.98193359375,Hg,,4MOST,11.603816032409668,,,,,
445.0,445.3109130859375,3820.4,Hg,1.0,4MOST & NIST,19.00369644165039,50,3820.37,0.04,0.03,0.03
501.0,505.4771423339844,3839.259,Hg,2.0,4MOST & NIST,115.42619323730467,10000,3839.255,0.004,0.003,0.004
522.0,521.7376708984375,3844.358154296875,Hg,,4MOST,12.815333366394045,,,,,
576.0,574.8576049804688,3860.85,Hg,1.0,4MOST & NIST,18.70758819580078,30,3860.963,0.04,0.024,-0.11
640.0,639.6025390625,3881.3955078125,Hg,,4MOST,24.828563690185547,,,,,
679.0,679.4251708984375,3893.8994140625,Hg,,4MOST,10.996299743652344,,,,,
705.0,705.619140625,3901.868,Hg,1.0,4MOST & NIST,85.01943969726562,30,3901.87,0.008,0.005,-0.002
724.0,719.208251953125,3906.371,Hg,1.0,4MOST & NIST,323.0494384765625,40,3906.383,0.008,0.003,-0.012
967.0,966.6019897460938,3983.9312,Hg,2.0,4MOST & NIST,103.99844360351562,2,3983.96,0.05,0.03,-0.04
1166.0,1166.837890625,4046.565,Hg,1.0,4MOST & NIST,56231.7109375,12000,4046.5643,0.001,0.0008,0.0007
1267.0,1267.1912841796875,4077.837,Hg,1.0,4MOST & NIST,4842.53125,1000,4077.837,0.001,0.0008,0.0
1364.0,1364.0809326171875,4108.054,Hg,1.0,4MOST & NIST,166.57357788085938,70,4108.054,0.008,0.007,0.0
1465.0,1465.4759521484375,4140.0,Hg,1.0,4MOST & NIST,10.370160102844238,0,4140.059,0.2,0.003,-0.06
1973.0,1973.407470703125,4298.06298828125,Hg,,4MOST,12.967893600463867,,,,,
2000.0,1999.739501953125,4306.2412109375,Hg,,4MOST,14.54668140411377,,,,,
2026.0,2024.3892822265625,4313.89453125,Hg,,4MOST,23.0188217163086,,,,,
2106.0,2105.694091796875,4339.2232,Hg,1.0,4MOST & NIST,1675.0892333984375,50,4339.2228,0.001,0.0009,0.0004
2133.0,2132.190673828125,4347.4945,Hg,1.0,4MOST & NIST,4954.15478515625,150,4347.4951,0.001,0.0009,-0.0006
2169.0,2167.441162109375,4358.335,Hg,1.0,4MOST & NIST,68947.0546875,12000,4358.3363,0.001,0.0008,-0.0013
3344.0,3345.1015625,4720.1240234375,Hg,,4MOST,13.49156665802002,,,,,
3587.0,3587.406982421875,4793.64990234375,Hg,,4MOST,12.64167308807373,,,,,
3790.0,3790.263671875,4854.927734375,Hg,,4MOST,13.868857383728027,,,,,
3861.0,3860.321533203125,4876.02978515625,Hg,,4MOST,13.97286891937256,,,,,
3904.0,3903.923828125,4889.1474609375,Hg,,4MOST,18.01010513305664,,,,,
3994.0,3993.55224609375,4916.328,Hg,2.0,4MOST & NIST,1380.21240234375,100w,,0.003,,
4054.0,4053.351806640625,4934.00830078125,Hg,,4MOST,16.768352508544922,,,,,
4141.0,4140.517578125,4960.1,Hg,1.0,4MOST & NIST,133.2114715576172,100,4960.17,0.1,0.04,-0.07
4265.0,4264.58154296875,4997.1708984375,Hg,,4MOST,13.380784034729004,,,,,
4361.0,4359.88134765625,5025.607,Hg,2.0,4MOST & NIST,36.69460678100586,3,5025.6307,0.2,0.002,-0.03
4399.0,4397.076171875,5036.63671875,Hg,,4MOST,14.147627830505373,,,,,
4428.0,4427.79541015625,5045.8,Hg,1.0,4MOST & NIST,30.36789894104004,2,5045.69,0.2,0.04,0.11
4546.0,4546.85107421875,5081.1025390625,Hg,,4MOST,13.392183303833008,,,,,
4619.0,4618.13623046875,5102.2109375,Hg,,4MOST,17.918439865112305,,,,,
4682.0,4683.6572265625,5121.57958984375,Hg,,4MOST,24.173593521118164,,,,,
4745.0,4748.56396484375,5140.736328125,Hg,,4MOST,15.805313110351562,,,,,
4857.0,4857.08447265625,5172.6953125,Hg,,4MOST,12.350921630859377,,,,,
5000.0,5000.90478515625,5214.912109375,Hg,,4MOST,12.658191680908203,,,,,
5063.0,5061.4716796875,5232.64208984375,Hg,,4MOST,12.116044998168944,,,,,
5162.0,5157.44482421875,5260.67578125,Hg,,4MOST,12.30290412902832,,,,,
5221.0,5220.01220703125,5278.91015625,Hg,,4MOST,12.504143714904783,,,,,
5245.0,5246.78466796875,5286.70263671875,Hg,,4MOST,11.968125343322754,,,,,
5350.0,5349.09326171875,5316.42236328125,Hg,,4MOST,21.265718460083008,,,,,
5482.0,5483.509765625,5355.32421875,Hg,,4MOST,33.49185562133789,,,,,
5516.0,5517.82177734375,5365.5,Hg,1.0,4MOST & NIST,26.414310455322266,12,5365.38,0.1,0.06,0.12
5587.0,5588.3212890625,5385.53662109375,Hg,,4MOST,12.038350105285645,,,,,
5851.0,5850.9736328125,5460.75,Hg,1.0,4MOST & NIST,3295.8759765625,6000,5460.7498,0.001,0.0009,0.0002
5907.0,5904.40478515625,5475.935546875,Hg,,4MOST,17.276777267456055,,,,,
