peaks,gaussian peaks,lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
481.0,481.0006408691406,5392.795,Xe,1.0,4MOST & NIST,12.752680778503418,100,5392.792+,0.002,,0.003
620.0,620.4951782226562,5439.923,Xe,1.0,4MOST & NIST,10.321529388427734,30,5439.923+,0.002,,0.0
764.0,763.2420043945312,5488.02734375,Xe,,4MOST,10.126033782958984,,,,,
818.0,817.6318359375,5506.361328125,Xe,,4MOST,16.221235275268555,,,,,
898.0,896.725830078125,5532.78,Xe,1.0,4MOST & NIST,11.233144760131836,2h,5532.78+,0.01,,0.0
954.0,954.379150390625,5552.385,Xe,1.0,4MOST & NIST,15.959396362304688,80,5552.387+,0.002,,-0.002
997.0,996.6396484375,5566.615,Xe,1.0,4MOST & NIST,21.19655990600586,100,5566.614+,0.002,,0.001
1034.0,1034.420166015625,5579.28,Xe,1.0,4MOST & NIST,13.275442123413086,40,5579.28+,0.01,,0.0
1042.0,1041.6014404296875,5581.784,Xe,1.0,4MOST & NIST,12.942334175109863,50,5581.787+,0.002,,-0.003
1152.0,1152.12744140625,5618.878,Xe,1.0,4MOST & NIST,19.10547065734864,80,5618.879+,0.002,,-0.001
1382.0,1382.1021728515625,5696.477,Xe,1.0,4MOST & NIST,23.86460494995117,80,5696.477+,0.002,,0.0
1442.0,1441.905029296875,5716.1,Xe,2.0,4MOST & NIST,33.01833724975586,100H,5716.14+,,,-0.04
1737.0,1736.499755859375,5814.505,Xe,1.0,4MOST & NIST,10.824131965637209,60,5814.505+,0.002,,0.0
1764.0,1765.005859375,5823.89,Xe,1.0,4MOST & NIST,112.45655822753906,300,5823.887+,0.002,,0.003
1918.0,1917.9031982421875,5875.018,Xe,1.0,4MOST & NIST,48.670143127441406,100,5875.019+,0.002,,-0.001
1977.0,1977.6405029296875,5894.988,Xe,1.0,4MOST & NIST,76.23650360107422,100,5894.989+,0.002,,-0.001
2087.0,2086.641357421875,5931.241,Xe,1.0,4MOST & NIST,34.683624267578125,80,5931.245+,0.002,,-0.004
2095.0,2095.418701171875,5934.172,Xe,1.0,4MOST & NIST,64.9487075805664,100,5934.169+,0.002,,0.003
2216.0,2215.94091796875,5974.152,Xe,1.0,4MOST & NIST,10.006155014038086,40,5974.161+,0.002,,-0.009
2633.0,2632.33203125,6111.951,Xe,1.0,4MOST & NIST,17.796228408813477,40,6111.949+,0.002,,0.002
2790.0,2789.90673828125,6163.661,Xe,1.0,4MOST & NIST,33.62830352783203,90,6163.661+,0.002,,0.0
2834.0,2834.8818359375,6178.303,Xe,1.0,4MOST & NIST,38.35028076171875,150,6178.300+,0.002,,0.003
2847.0,2846.618408203125,6182.42,Xe,1.0,4MOST & NIST,65.4112319946289,300,6182.418+,0.002,,0.002
