peaks,gaussian peaks,lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
1166.0,1166.4393310546875,4046.488525390625,Zn,,4MOST,17.57779884338379,,,,,
1526.0,1525.59228515625,4158.66357421875,Zn,,4MOST,28.256065368652344,,,,,
1628.0,1628.7352294921875,4190.82080078125,Zn,,4MOST,12.80085563659668,,,,,
1653.0,1653.5472412109375,4198.55224609375,Zn,,4MOST,11.239087104797363,,,,,
1661.0,1660.411376953125,4200.69091796875,Zn,,4MOST,38.744754791259766,,,,,
1848.0,1848.4583740234373,4259.22705078125,Zn,,4MOST,14.042529106140137,,,,,
1872.0,1871.0233154296875,4266.244140625,Zn,,4MOST,11.872326850891112,,,,,
1890.0,1889.46142578125,4271.97705078125,Zn,,4MOST,15.187397956848145,,,,,
1956.0,1955.995849609375,4292.8836,Zn,1.0,4MOST & NIST,24.45332908630371,32000.0,4292.883,0.0008,0.0006,0.0006
1979.0,1979.43505859375,4299.93505859375,Zn,,4MOST,19.637523651123047,,,,,
2087.0,2087.079833984375,4333.349609375,Zn,,4MOST,12.642678260803224,,,,,
2168.0,2167.6064453125,4358.3193359375,Zn,,4MOST,58.12886428833008,,,,,
2802.0,2801.694091796875,4554.005859375,Zn,,4MOST,41.23333740234375,,,,,
3049.0,3048.898681640625,4629.8081,Zn,1.0,4MOST & NIST,185.9039306640625,390000.0,4629.80809,0.00022,0.00022,1e-05
3214.0,3214.072021484375,4680.1359,Zn,1.0,4MOST & NIST,36771.88671875,540000.0,4680.13589,0.00022,0.0002,1e-05
3352.0,3351.693115234375,4722.1569,Zn,1.0,4MOST & NIST,63692.2578125,1000000.0,4722.15691,0.00022,0.00018,-1e-05
3608.0,3608.31982421875,4799.97900390625,Zn,,4MOST,32.42666244506836,,,,,
3643.0,3642.978515625,4810.5321,Zn,1.0,4MOST & NIST,65658.4921875,1100000.0,4810.53206,0.00023,0.00019,4e-05
4053.0,4053.159423828125,4933.9501953125,Zn,,4MOST,28.24071502685547,,,,,
4434.0,4437.2900390625,5048.5908203125,Zn,,4MOST,10.8455810546875,,,,,
4563.0,4562.693359375,5085.796875,Zn,,4MOST,36.69289779663086,,,,,
4617.0,4613.50244140625,5100.83984375,Zn,,4MOST,34.20866012573242,,,,,
4889.0,4888.91650390625,5181.9819,Zn,1.0,4MOST & NIST,119.1158676147461,120000.0,5181.9819,0.0006,0.0006,0.0
4925.0,4925.49169921875,5192.79541015625,Zn,,4MOST,42.45774459838867,,,,,
5013.0,5010.498046875,5217.72216796875,Zn,,4MOST,37.33329772949219,,,,,
5083.0,5078.50439453125,5237.62255859375,Zn,,4MOST,25.312530517578125,,,,,
5347.0,5349.5087890625,5316.54296875,Zn,,4MOST,32.58442687988281,,,,,
