peaks,gaussian peaks,lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
682.0,682.4852294921875,5460.796875,Zn,,4MOST,73.67125701904297,,,,,
787.0,786.7907104492188,5495.9658203125,Zn,,4MOST,22.06831741333008,,,,,
973.0,973.8778076171876,5558.9931640625,Zn,,4MOST,16.017440795898438,,,,,
1116.0,1116.0877685546875,5606.841796875,Zn,,4MOST,15.982471466064451,,,,,
1602.0,1601.696044921875,5769.716796875,Zn,,4MOST,11.684122085571287,,,,,
1609.0,1609.237060546875,5772.1,Zn,1.0,4MOST & NIST,12.3800687789917,490000.0,5772.050,0.05,0.004,0.05
1665.0,1664.6602783203125,5790.76806640625,Zn,,4MOST,10.190386772155762,,,,,
1959.0,1958.6383056640625,5888.82763671875,Zn,,4MOST,12.171887397766112,,,,,
1976.0,1975.828125,5894.3607,Zn,2.0,4MOST & NIST,83.8997573852539,500.0,5894.37+,,,-0.01
2391.0,2390.939208984375,6032.2919921875,Zn,,4MOST,28.311220169067383,,,,,
2425.0,2424.489013671875,6043.38720703125,Zn,,4MOST,13.665419578552246,,,,,
2723.0,2722.879150390625,6141.806640625,Zn,,4MOST,13.333505630493164,,,,,
2945.0,2944.69775390625,6214.5778,Zn,2.0,4MOST & NIST,11.754640579223633,500.0,6214.63+,,,-0.06
3397.0,3397.41357421875,6362.3458,Zn,1.0,4MOST & NIST,12171.125,240000.0,6362.3458,0.0004,0.0004,0.0
3564.0,3563.55322265625,6416.3056640625,Zn,,4MOST,12.51877498626709,,,,,
4617.0,4616.30224609375,6752.83251953125,Zn,,4MOST,16.55779457092285,,,,,
4993.0,4994.14599609375,6871.205078125,Zn,,4MOST,11.864327430725098,,,,,
5178.0,5178.23193359375,6928.316,Zn,1.0,4MOST & NIST,23.58897590637207,40000.0,6928.295,0.013,0.003,0.021
5210.0,5209.89697265625,6938.166015625,Zn,,4MOST,13.385986328125,,,,,
5299.0,5297.76953125,6965.30517578125,Zn,,4MOST,200.15557861328125,,,,,
5628.0,5629.27587890625,7067.00439453125,Zn,,4MOST,17.439374923706055,,,,,
