gaussian peaks,lambda,element
347.62890625,3790.0,Hg
443.2731018066406,3819.6074,He
445.3109130859375,3820.4,Hg
505.4771423339844,3839.259,Hg
574.8576049804688,3860.85,Hg
622.5164184570312,3876.1486,Cs
662.2264404296875,3888.648,He
662.234130859375,3888.611413,Cs
705.619140625,3901.868,Hg
719.208251953125,3906.371,Hg
860.8214721679688,3950.924,Xe
905.166748046875,3964.7291,He
913.7799072265624,3967.5411,Xe
966.6019897460938,3983.9312,Hg
1101.0267333984375,4026.1914,He
1166.7598876953125,4046.565,Hg
1166.837890625,4046.565,Hg
1266.982421875,4077.837,Hg
1267.1912841796875,4077.837,Hg
1270.3104248046875,4078.8202,Xe
1364.0809326171875,4108.054,Hg
1368.7362060546875,4109.7089,Xe
1389.118408203125,4116.1147,Xe
1404.6041259765625,4120.8154,He
1465.4759521484375,4140.0,Hg
1477.8568115234375,4143.761,He
1636.575927734375,4193.15,Xe
1670.037109375,4203.695,Xe
1889.48193359375,4271.7359,Cs
1955.995849609375,4292.8836,Zn
2000.60498046875,4306.6718,Cd
2105.39111328125,4339.2232,Hg
2105.694091796875,4339.2232,Hg
2132.067626953125,4347.4945,Hg
2132.190673828125,4347.4945,Hg
2167.441162109375,4358.335,Hg
2167.506591796875,4358.335,Hg
2250.086181640625,4383.908,Xe
2263.10107421875,4387.9296,He
2344.243408203125,4412.9894,Cd
2352.40673828125,4415.6859,Cd
2423.8916015625,4437.551,He
2533.56884765625,4471.4802,He
2628.97900390625,4500.978,Xe
2706.427001953125,4524.6805,Xe
2805.97802734375,4555.2799,Cs
2895.5439453125,4582.7472,Xe
2929.875732421875,4593.1721,Cs
2990.5478515625,4611.8882,Xe
3030.967529296875,4624.2756,Xe
3048.898681640625,4629.8081,Zn
3155.811767578125,4662.352,Cd
3184.61572265625,4671.2258,Xe
3207.617431640625,4678.1493,Cd
3214.072021484375,4680.1359,Zn
3249.319091796875,4690.97,Xe
3269.51416015625,4697.0208,Xe
3322.09130859375,4713.1457,He
3351.693115234375,4722.1569,Zn
3391.204833984375,4734.1518,Xe
3583.810791015625,4792.619,Xe
3608.218505859375,4799.9123,Cd
3631.487548828125,4807.019,Xe
3642.978515625,4810.5321,Zn
3706.5537109375,4829.708,Xe
3751.73193359375,4843.2934,Xe
3993.490966796875,4916.328,Hg
3993.55224609375,4916.328,Hg
3995.0078125,4916.507,Xe
4013.332275390625,4921.9313,He
4017.347900390625,4923.152,Xe
4140.517578125,4960.1,Hg
4326.8125,5015.6783,He
4359.88134765625,5025.607,Hg
4368.8798828125,5028.2794,Xe
4427.79541015625,5045.8,Hg
4434.162109375,5047.738,He
4476.1552734375,5059.8686,Cs
4562.60595703125,5085.8217,Cd
4788.35400390625,5152.6813,Cs
4795.7333984375,5154.6605,Cd
4888.91650390625,5181.9819,Zn
4938.50341796875,5196.7343,Cs
5143.404296875,5256.5942,Cs
5434.0,5340.9418,Cs
5466.42626953125,5349.1315,Cs
5517.82177734375,5365.5,Hg
5685.36279296875,5413.6145,Cs
5850.92236328125,5460.75,Hg
5850.9736328125,5460.75,Hg
