gaussian peaks,lambda,element
326.622802734375,5340.9418,Cs
354.4944152832031,5349.13,Cs
399.4914855957031,5365.5,Hg
481.0006408691406,5392.795,Xe
521.9409790039062,5406.6672,Cs
542.08837890625,5413.6145,Cs
620.4951782226562,5439.923,Xe
682.249755859375,5460.75,Hg
682.6280517578125,5460.75,Hg
697.2347412109375,5465.9443,Cs
806.9066162109375,5502.8843,Cs
896.725830078125,5532.78,Xe
954.379150390625,5552.385,Xe
996.6396484375,5566.615,Xe
1002.3698120117188,5568.4078,Cs
1018.010986328125,5573.674,Cs
1034.420166015625,5579.28,Xe
1041.6014404296875,5581.784,Xe
1152.12744140625,5618.878,Xe
1200.640380859375,5635.2123,Cs
1286.4891357421875,5664.0183,Cs
1321.6639404296875,5675.81,Hg
1382.1021728515625,5696.477,Xe
1441.905029296875,5716.1,Xe
1601.441162109375,5769.61,Hg
1601.66162109375,5769.61,Hg
1609.237060546875,5772.1,Zn
1664.693359375,5790.67,Hg
1665.0731201171875,5790.67,Hg
1704.49365234375,5803.782,Hg
1736.499755859375,5814.505,Xe
1744.780517578125,5818.3,Hg
1765.005859375,5823.89,Xe
1809.29443359375,5838.8347,Cs
1828.0914306640625,5845.141,Cs
1872.109375,5859.254,Hg
1910.2652587890625,5871.975,Hg
1917.9031982421875,5875.018,Xe
1919.50537109375,5875.621,He
1940.48681640625,5882.888,Cs
1962.9437255859373,5890.2,Hg
1975.828125,5894.3607,Zn
1977.6405029296875,5894.988,Xe
2086.641357421875,5931.241,Xe
2095.418701171875,5934.172,Xe
2215.94091796875,5974.152,Xe
2325.9248046875,6010.4905,Cs
2397.015869140625,6034.0895,Cs
2513.470703125,6072.64,Hg
2593.811767578125,6099.1421,Cd
2632.33203125,6111.951,Xe
2646.104736328125,6116.536,Cs
2667.3525390625,6123.27,Hg
2789.90673828125,6163.661,Xe
2834.8818359375,6178.303,Xe
2846.618408203125,6182.42,Xe
2880.764892578125,6193.6689,Cs
2894.892578125,6198.26,Xe
2903.078125,6200.892,Xe
2940.3662109375,6213.0998,Cs
2944.69775390625,6214.5778,Zn
2953.759521484375,6217.5986,Cs
3004.627685546875,6234.36,Hg
3086.827880859375,6261.212,Xe
3162.883544921875,6286.011,Xe
3183.178466796875,6292.649,Xe
3261.776611328125,6318.062,Xe
3283.205322265625,6325.1661,Cd
3297.740966796875,6330.0133,Cd
3373.759521484375,6354.5548,Cs
3397.41357421875,6362.3458,Zn
3631.92822265625,6438.4695,Cd
3729.544189453125,6469.705,Xe
3738.670166015625,6472.841,Xe
3784.56396484375,6487.765,Xe
3818.59619140625,6498.717,Xe
3835.632080078125,6504.18,Xe
3926.265869140625,6533.159,Xe
3991.83740234375,6554.196,Xe
4092.5205078125,6586.5096,Cs
4120.4990234375,6595.561,Xe
4225.8955078125,6628.6576,Cs
4236.35302734375,6632.464,Xe
4345.3603515625,6666.965,Xe
4351.14599609375,6668.92,Xe
4380.78125,6678.151,He
4501.11181640625,6716.34,Hg
4522.73193359375,6723.2838,Cs
4537.43408203125,6728.008,Xe
4854.099609375,6827.315,Xe
4915.876953125,6846.613,Xe
4980.046875,6866.838,Xe
4992.564453125,6870.4544,Cs
4996.96142578125,6872.107,Xe
5029.52734375,6882.155,Xe
5110.70458984375,6907.46,Hg
5169.26416015625,6925.53,Xe
5178.23193359375,6928.316,Zn
5297.6923828125,6965.431,Ar
5323.6953125,6973.2966,Cs
5333.03955078125,6976.182,Xe
5356.900390625,6983.4912,Cs
5622.9619140625,7065.19,He
5624.494140625,7065.71,He
