pix,flux
0,280.35031509419775
1,278.18234954871787
2,287.89384740692304
3,286.63865965568453
4,286.38510639275296
5,287.22961658307605
6,282.7551173791947
7,292.56707029465053
8,296.6243258318865
9,300.74082644265854
10,305.09255778370004
11,302.39308866932646
12,301.0274833587864
13,317.91827984973366
14,313.5789335613209
15,318.30747148880226
16,314.6634290454797
17,312.1525519648673
18,325.2380697393909
19,318.0294701169496
20,320.90907271905706
21,317.8553779463401
22,327.3353097384687
23,319.36764730462244
24,337.48953451828237
25,335.2583097903065
26,343.2286584978067
27,333.00069707926025
28,332.2773545914051
29,336.46402690607806
30,332.2985409875688
31,344.015916880894
32,348.966416651948
33,345.06523829384514
34,361.9267063782911
35,371.6676345155696
36,373.02303656217964
37,369.30828769899927
38,382.7186661683587
39,374.39828716762963
40,378.3606292715271
41,375.15356945021534
42,387.343320034968
43,380.0684996539081
44,401.7790757174998
45,393.1825506232105
46,399.5029738528616
47,409.55697372905155
48,405.8968403473663
49,414.7325933697563
50,416.0288798759026
51,425.5121112996437
52,427.0662336868197
53,421.488604929746
54,430.60875059056025
55,438.6857911242901
56,419.2989238254736
57,435.59559922775406
58,449.84877223492276
59,449.6898476100687
60,463.4943473627045
61,476.15249636138526
62,470.98431784163336
63,475.3805745568769
64,484.778082541177
65,471.31256399851765
66,479.4423560779751
67,487.2667222452557
68,498.28464223357656
69,497.08581057145284
70,496.61721104060763
71,501.9417487884432
72,513.7122315306063
73,533.4356481245363
74,538.9445899770855
75,534.1154156250783
76,529.1580882990232
77,541.4046463642358
78,551.4025878082509
79,560.8565602839009
80,574.392858570916
81,581.9158174569395
82,574.8220145410844
83,585.5983425213815
84,594.8075211782548
85,602.1196644944608
86,612.5139755929888
87,626.0627678093196
88,621.8731433075591
89,626.4594371764523
90,632.8425774003151
91,636.9023143225396
92,653.5516439484816
93,650.9129908007319
94,671.6720619637346
95,681.9435734541033
96,679.5523329066928
97,669.4810361502249
98,692.4701530125423
99,699.1070110266066
100,705.4413916100448
101,734.0778400146976
102,716.6456990948687
103,739.2115653541745
104,751.872499329798
105,749.8968983235662
106,762.7173503818126
107,777.2957315220943
108,778.9269719549666
109,773.3659399714145
110,820.8894332167968
111,788.1232467416373
112,813.8335368846167
113,818.5267640080979
114,835.2009587488651
115,838.6066623174728
116,839.3018488542365
117,846.1786510122788
118,880.0470499726588
119,873.8214589681746
120,875.5886757642464
121,897.4351011253507
122,911.9377140598302
123,934.035107805989
124,932.2507016136803
125,942.8716215368805
126,959.4822789328147
127,962.7247930271288
128,969.965724322552
129,992.5296381753425
130,1004.2471799159518
131,1000.3224030211094
132,1032.1961696999176
133,1031.1678856175336
134,1044.0663855359142
135,1035.9349283130898
136,1062.2985821307084
137,1088.8823377984781
138,1084.7741901419288
139,1094.6226891346887
140,1113.3287124739159
141,1127.7576817545507
142,1134.8114648576745
143,1177.3389682337795
144,1183.4122768230375
145,1178.3818537329616
146,1196.7285958895259
147,1191.2576638403484
148,1235.099154569207
149,1250.6750006326283
150,1257.2620503125836
151,1242.7209440184852
152,1278.5610826922841
153,1345.604326094261
154,1285.1910962944532
155,1310.8554893638081
156,1356.343336074888
157,1359.7514752180925
158,1373.0103327042182
159,1407.757485870255
160,1385.867729472317
161,1422.3765802930056
162,1439.521144247985
163,1502.1004788654245
164,1497.6034373174114
165,1506.3616688380127
166,1512.5038274805684
167,1532.187318085654
168,1540.1725941470866
169,1579.2263691896026
170,1577.0039006808938
171,1636.8216754522564
172,1637.7453118097353
173,1681.594185180465
174,1706.142497697821
175,1702.4948012067514
176,1708.8725599945035
177,1720.0181513201767
178,1763.862385032341
179,1787.1566723919843
180,1777.7487878398426
181,1798.6264028443472
182,1829.1745429636806
183,1863.1775254189838
184,1849.0223270941826
185,1889.0261638612224
186,1936.9179995263185
187,1913.9954196714752
188,1952.8160655400552
189,1979.517855769268
190,2000.3668925684262
191,2042.1964745828143
192,2031.1548726329363
193,2113.1587036756473
194,2134.344085250394
195,2074.538205082509
196,2152.928764882327
197,2172.661933638374
198,2199.533756543557
199,2200.955898654365
200,2222.706513076029
201,2292.4775974346758
202,2317.4601483612782
203,2331.4036637344025
204,2324.0945818396285
205,2429.2114590258534
206,2391.436339343154
207,2419.6263289575736
208,2516.4889684474733
209,2516.635829539946
210,2551.791098061592
211,2540.968160749602
212,2550.403581596463
213,2664.304715011219
214,2666.67666400272
215,2685.0100541062516
216,2678.078167456744
217,2747.2079405385384
218,2734.606320768973
219,2803.6303368043173
220,2830.202973724784
221,2857.6861378869307
222,2938.706584483729
223,2956.469885419911
224,3017.228912774011
225,3054.45856914714
226,3084.185451428183
227,3090.2983217466594
228,3180.3839751064415
229,3206.7437000585974
230,3217.566499115854
231,3319.467966269572
232,3303.9053779274504
233,3365.5986997210034
234,3349.2094880492245
235,3434.104451141679
236,3451.0029073272867
237,3526.409497863296
238,3532.782225222981
239,3674.4030855356227
240,3635.494040927291
241,3613.995254464346
242,3695.0010420047856
243,3822.1127999285195
244,3922.7409165991426
245,3899.5308343882657
246,3947.9994819313433
247,4035.371254536897
248,4036.0275335206347
249,4119.5733600486765
250,4169.827672186914
251,4188.346807997175
252,4289.463090005015
253,4273.776600165069
254,4479.96269718292
255,4386.97056748919
256,4449.8105712894185
257,4592.807832921421
258,4550.6646304121605
259,4621.418152788507
260,4671.85881224588
261,4778.400066768157
262,4890.621578737146
263,4783.395931470241
264,5020.896936987778
265,4909.237068169408
266,4992.911402871861
267,5027.1407984493635
268,5130.262545640204
269,5264.1353365082205
270,5382.388298352116
271,5282.998532619452
272,5392.624653591781
273,5472.663957628892
274,5444.185280994883
275,5531.016412953958
276,5639.867030750872
277,5765.153775649637
278,5718.490762735189
279,5898.576873177762
280,5905.703962478704
281,5985.112729909284
282,5969.218638247472
283,6221.258900962933
284,6099.185886728709
285,6283.220796535838
286,6282.338179625288
287,6345.351430212522
288,6483.652760799957
289,6584.113202184088
290,6767.4386659249085
291,6672.185612866945
292,6730.886978736034
293,6861.753929516105
294,6827.8865041556255
295,7000.5336578358965
296,7062.863384893578
297,7154.168594825282
298,7189.078753308256
299,7299.419248285831
300,7227.237778835566
301,7559.697430617822
302,7542.463571106543
303,7582.498153723154
304,7561.6290860663
305,7702.814220337467
306,7753.5092032281855
307,7772.575869589339
308,7934.854156174945
309,7921.227916263106
310,8098.476033408559
311,8035.125253767343
312,8246.17816252073
313,8298.761712362333
314,8351.951867519021
315,8384.566488874972
316,8366.430813472434
317,8486.36434575123
318,8540.811903459648
319,8769.196245067707
320,8779.669361876118
321,8797.07001248511
322,8849.084513822389
323,8877.481305356681
324,8953.605336134118
325,9198.885084435662
